,gene_symbols,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,gene_ids
TNIP3,TNIP3,18343,True,0.03280544668886786,1.2821255856472134,4.25778,9,False,ENSG00000050730
MSMO1,MSMO1,119984,True,0.20618103843936988,1.0558571304164388,3.0152776,5,False,ENSG00000052802
SYNE2,SYNE2,176720,True,0.34063508596590797,1.063553224292421,2.6860406,7,False,ENSG00000054654
KCNH2,KCNH2,1908,True,0.0032764938176537547,1.3268140290755164,2.026408,5,False,ENSG00000055118
CYFIP2,CYFIP2,51299,True,0.06903085668359978,1.0413811724987323,1.5473529,5,False,ENSG00000055163
TRAF1,TRAF1,14991,True,0.02621942701821055,1.2272732084845244,2.569365,8,False,ENSG00000056558
SERPINB3,SERPINB3,128065,True,0.7847315766017501,1.941609427133358,10.745031,11,False,ENSG00000057149
PRDM1,PRDM1,49521,True,0.09693197257065496,1.2394330510186613,5.442754,12,False,ENSG00000057657
LAMC2,LAMC2,51414,True,0.07670463430690475,1.0516993656083236,2.576425,6,False,ENSG00000058085
MXD1,MXD1,92096,True,0.17956016807928618,1.1034548485320257,3.228314,10,False,ENSG00000059728
SLC2A3,SLC2A3,143137,True,0.31582706395847115,1.2963579416572257,5.4072003,9,False,ENSG00000059804
CASP8,CASP8,71047,True,0.0983093245552158,1.0319000404460241,1.4574394,5,False,ENSG00000064012
SPA17,SPA17,55698,True,0.08088722124079682,1.1584869354431002,6.383265,8,False,ENSG00000064199
WISP2,WISP2,13865,True,0.026743350153896617,1.5503613466025716,6.3032002,8,False,ENSG00000064205
CHI3L2,CHI3L2,38746,True,0.07698632578471205,1.4862680510294108,7.822298,13,False,ENSG00000064886
CALCRL,CALCRL,51464,True,0.08374840032695209,1.412435580494734,6.7206907,10,False,ENSG00000064989
SLC9A3R2,SLC9A3R2,134001,True,0.24724073980276104,1.1722113478618679,4.057016,10,False,ENSG00000065054
ANKRD44,ANKRD44,65167,True,0.0891195684098269,1.1467290114707709,3.0036962,8,False,ENSG00000065413
MYLK,MYLK,39231,True,0.05514711594575395,1.3442500197981206,6.0290756,10,False,ENSG00000065534
COL17A1,COL17A1,20045,True,0.039209416518952746,1.054205769816359,3.0719306,5,False,ENSG00000065618
PRKCQ,PRKCQ,12551,True,0.01610375699063699,1.2430312814503455,1.771188,5,False,ENSG00000065675
TIE1,TIE1,19686,True,0.02898711226895988,1.274929362790196,3.0777202,8,False,ENSG00000066056
CD84,CD84,34317,True,0.05543202526924439,1.2397355885371193,3.68604,8,False,ENSG00000066294
SPI1,SPI1,131503,True,0.35621996933779754,1.3185462358769977,5.1431003,8,False,ENSG00000066336
CLDN18,CLDN18,53215,True,0.1127292264917005,1.2101256424555007,4.3303022,8,False,ENSG00000066405
PLPP1,PLPP1,75887,True,0.1069828190821288,1.0317155991003557,1.9072297,5,False,ENSG00000067113
SYT1,SYT1,1852,True,0.0032851382860444004,1.4622573700293036,7.5322804,4,False,ENSG00000067715
HYAL2,HYAL2,105059,True,0.16891134851540324,1.2396750944951935,3.292867,7,False,ENSG00000068001
RASGRP2,RASGRP2,49367,True,0.07493889759702035,1.208621201089207,3.0314167,5,False,ENSG00000068831
ADGRF5,ADGRF5,81528,True,0.1338835825640947,1.277315462854524,4.403403,10,False,ENSG00000069122
CLEC2D,CLEC2D,52313,True,0.09717533711336909,1.2152925343772498,4.0719457,9,False,ENSG00000069493
MAOB,MAOB,15243,True,0.022922948191567125,1.3259382223116838,4.0909424,10,False,ENSG00000069535
RORA,RORA,100325,True,0.1665522148708439,1.1143396635648295,3.1730826,9,False,ENSG00000069667
TGFBR3,TGFBR3,43679,True,0.05845015211600556,1.1841867162350908,3.2471335,7,False,ENSG00000069702
SCT,SCT,922,True,0.0015132902794236342,1.318260634177504,2.66806,6,False,ENSG00000070031
FSTL3,FSTL3,33925,True,0.049335942086658875,1.1658286534405184,3.2815387,5,False,ENSG00000070404
MGAT4A,MGAT4A,91809,True,0.13767624553886806,1.030306321586398,1.9139462,6,False,ENSG00000071073
LMCD1,LMCD1,48736,True,0.07155870945983968,1.2294415234033358,4.4776497,9,False,ENSG00000071282
CDH19,CDH19,1188,True,0.0016141451784347173,1.057680161594105,1.7671338,5,False,ENSG00000071991
LIMS2,LIMS2,35614,True,0.0456642629394008,1.149969325198157,2.7413096,8,False,ENSG00000072163
FCGR2B,FCGR2B,22246,True,0.04953071074062227,1.3916285057515732,5.247185,11,False,ENSG00000072694
STK10,STK10,64474,True,0.08803604748330683,1.0479943580410616,1.8605599,6,False,ENSG00000072786
ACAP1,ACAP1,59894,True,0.12030697031160083,1.3074366532397632,5.8493876,13,False,ENSG00000072818
FERMT2,FERMT2,67782,True,0.0831313406601903,1.0349975267674285,1.4257351,5,False,ENSG00000073712
DHRS9,DHRS9,76048,True,0.1593170812900669,1.0939079285383324,3.587587,5,False,ENSG00000073737
PTGS2,PTGS2,47095,True,0.09579995372714792,1.3272113415170639,6.5091105,11,False,ENSG00000073756
TBX21,TBX21,11453,True,0.024624887570795534,1.4020708358860232,3.4086835,8,False,ENSG00000073861
NOTCH3,NOTCH3,34151,True,0.047325601802575216,1.101376904868251,2.0485282,5,False,ENSG00000074181
ATP2A3,ATP2A3,41118,True,0.06982591203514936,1.1195769691890005,2.5477667,5,False,ENSG00000074370
IPCEF1,IPCEF1,13632,True,0.020033526134850935,1.1625200589264075,1.8205553,5,False,ENSG00000074706
TXK,TXK,11274,True,0.023821796975736276,1.3315590201543441,3.0222745,9,False,ENSG00000074966
FSCN1,FSCN1,37569,True,0.0602822001120747,1.1338937856846056,2.9644413,8,False,ENSG00000075618
ATP12A,ATP12A,37694,True,0.06877038732084646,1.1155824599126607,4.329192,5,False,ENSG00000075673
ARHGAP15,ARHGAP15,40524,True,0.07030447822860277,1.2316010986007275,3.3941526,7,False,ENSG00000075884
PAG1,PAG1,94792,True,0.15821834973455767,1.123487235248036,2.6804535,5,False,ENSG00000076641
ICAM3,ICAM3,77939,True,0.13491308860290677,1.1177497559873397,2.952566,9,False,ENSG00000076662
MCAM,MCAM,29706,True,0.04569599895193622,1.3193915790274262,4.9102745,10,False,ENSG00000076706
SPAG6,SPAG6,33905,True,0.05992673802457078,1.3500399018541462,7.906207,11,False,ENSG00000077327
FGFR1,FGFR1,53462,True,0.07021915263652875,1.0224498582408057,1.5344331,5,False,ENSG00000077782
FBLN1,FBLN1,60852,True,0.14387944731997335,1.8529970833535534,12.291322,11,False,ENSG00000077942
ITGA8,ITGA8,5893,True,0.008350314893756313,1.0707893503359334,2.1605828,6,False,ENSG00000077943
CST7,CST7,50206,True,0.17369390529399711,1.7188192057850618,11.51506,12,False,ENSG00000077984
MAP2,MAP2,11265,True,0.013021133051859146,1.092584540378376,1.7044691,5,False,ENSG00000078018
LAMP3,LAMP3,66922,True,0.14478511949322945,1.261812445899713,4.242186,8,False,ENSG00000078081
EDN1,EDN1,44241,True,0.10024735414623938,1.5691054065037477,9.801851,11,False,ENSG00000078401
P2RY10,P2RY10,8341,True,0.019135391737313538,1.3828264971469808,3.3216355,10,False,ENSG00000078589
ITM2A,ITM2A,77079,True,0.14468217127914124,1.3841256927277448,7.1651645,14,True,ENSG00000078596
BPIFB2,BPIFB2,3115,True,0.007828148449182245,1.7977845749146237,13.442889,8,False,ENSG00000078898
RUNX1T1,RUNX1T1,18053,True,0.020110439420998216,1.1720264662207622,2.1093578,6,False,ENSG00000079102
LXN,LXN,79313,True,0.10842673629140638,1.0566174177781262,2.3541799,7,False,ENSG00000079257
SCGN,SCGN,405,True,0.0008480514789656025,0.9998660307792006,5.290838,6,False,ENSG00000079689
MOXD1,MOXD1,5191,True,0.006804917959057679,1.264007987703957,2.3838947,6,False,ENSG00000079931
RABL2B,RABL2B,65964,True,0.08384949862583116,1.0362972426676393,3.3117764,4,False,ENSG00000079974
RFX3,RFX3,45925,True,0.0613026423851396,1.1039166042834259,4.311234,6,False,ENSG00000080298
MOK,MOK,38639,True,0.047729868172722935,1.0329416926008546,2.7650206,5,False,ENSG00000080823
CXCL2,CXCL2,184104,True,0.6958848408746149,1.573419207974805,6.9811788,13,False,ENSG00000081041
TCF7,TCF7,38275,True,0.056150391063150194,1.1293013277694353,2.4861062,8,False,ENSG00000081059
MEF2C,MEF2C,73534,True,0.11085881890310258,1.250255149866134,4.424739,10,False,ENSG00000081189
PTPRC,PTPRC,171196,True,0.4158956324345629,1.3176894805345374,8.573736,7,False,ENSG00000081237
STK17B,STK17B,162542,True,0.2786554505629359,1.0300165736750535,2.5174592,6,False,ENSG00000081320
FYB,FYB,106332,True,0.19759628205127508,1.2213214994405093,5.4584103,10,False,ENSG00000082074
P2RX5,P2RX5,3526,True,0.008030198694680213,1.3860107939334354,2.455461,8,False,ENSG00000083454
FCN1,FCN1,40440,True,0.1421714837284301,1.9828721422271733,14.011991,12,False,ENSG00000085265
PILRA,PILRA,79880,True,0.14049846080219622,1.1049618063448743,2.1426554,7,False,ENSG00000085514
ABCB1,ABCB1,6776,True,0.011429146860344182,1.3841402153863904,3.084162,9,False,ENSG00000085563
SNX10,SNX10,119372,True,0.30934287476140376,1.265272606442829,3.500749,9,False,ENSG00000086300
CEACAM6,CEACAM6,84385,True,0.20502059339911732,1.5435730173101387,10.279291,14,True,ENSG00000086548
LAT2,LAT2,63146,True,0.09825541316107296,1.1342595065040615,2.2126646,5,False,ENSG00000086730
TMPRSS11E,TMPRSS11E,2514,True,0.005240315805933714,1.067427294287004,4.7351084,4,False,ENSG00000087128
MMP2,MMP2,22543,True,0.0474853803300675,1.6936070009192805,8.887222,13,False,ENSG00000087245
CASS4,CASS4,7451,True,0.012652581995321684,1.389460613711656,2.8729222,7,False,ENSG00000087589
PTPN4,PTPN4,59376,True,0.0781058653156697,1.0631250005899657,1.6445992,5,False,ENSG00000088179
KIF9,KIF9,79280,True,0.11874348942712365,1.1113089954918478,4.818288,8,False,ENSG00000088727
TESC,TESC,21726,True,0.035070351704270246,1.296419955650857,4.0806355,11,False,ENSG00000088992
SIRPG,SIRPG,3401,True,0.006366859388550665,1.3642505744249527,3.0562744,7,False,ENSG00000089012
CHGB,CHGB,2019,True,0.002377995576557746,1.1475717974262079,4.2410827,4,False,ENSG00000089199
FXYD5,FXYD5,252517,True,0.5555008424148871,0.9877292156083657,4.0887346,4,False,ENSG00000089327
FXYD3,FXYD3,238092,True,0.8356638167718247,1.066494658102489,2.4013236,7,False,ENSG00000089356
LAG3,LAG3,14703,True,0.024455121075252474,1.329155403848407,3.6318316,9,False,ENSG00000089692
LTBP4,LTBP4,91088,True,0.13677963479522845,1.0800755699370292,2.5160327,5,False,ENSG00000090006
RGS1,RGS1,76172,True,0.27145623813017333,1.6651545074468268,9.4058075,14,True,ENSG00000090104
ICAM1,ICAM1,125909,True,0.2506031768726968,1.2877455161437175,4.919853,13,False,ENSG00000090339
LYZ,LYZ,211349,True,0.841709679569657,1.9528811339766234,14.5821705,14,True,ENSG00000090382
SLC26A4,SLC26A4,11822,True,0.02134536399826514,1.2583455884623989,5.819514,6,False,ENSG00000091137
ITGA6,ITGA6,75384,True,0.13025634660150373,1.107171043446868,3.174893,7,False,ENSG00000091409
RAPGEF4,RAPGEF4,8435,True,0.01098280255269877,1.115026445062261,1.748015,6,False,ENSG00000091428
ANGPT2,ANGPT2,16436,True,0.02278264289969471,1.3422320080364005,5.7154045,10,False,ENSG00000091879
CD200,CD200,7499,True,0.009889364237352897,1.198892852439773,1.853255,6,False,ENSG00000091972
CCDC80,CCDC80,90583,True,0.21957547196526633,1.5333705896068008,9.164954,12,False,ENSG00000091986
CMA1,CMA1,176,True,0.00039723879725557396,1.0529121579269503,1.30157,5,False,ENSG00000092009
TEKT2,TEKT2,26504,True,0.036288326754998546,1.196306375782229,4.501225,8,False,ENSG00000092850
VNN3,VNN3,21656,True,0.029111160192313794,1.1436507845121395,3.4328408,5,False,ENSG00000093134
FMO2,FMO2,81147,True,0.1494396044725847,1.331575648369864,6.9592414,13,False,ENSG00000094963
PTGS1,PTGS1,14934,True,0.02479856950033505,1.2656794138662757,2.8459456,8,False,ENSG00000095303
SH2D3C,SH2D3C,28246,True,0.03712591743258397,1.2262066513613754,2.8051393,6,False,ENSG00000095370
CYP26A1,CYP26A1,28626,True,0.06083825451397691,1.1499990017047772,7.2738285,8,False,ENSG00000095596
CREM,CREM,143515,True,0.35328300839912974,1.1155552496147698,2.6936636,6,False,ENSG00000095794
TPSD1,TPSD1,3093,True,0.008315767496832877,1.6914217626098094,7.0009904,11,False,ENSG00000095917
TREM2,TREM2,66107,True,0.12283976555120502,1.2673499301702582,5.396599,11,False,ENSG00000095970
CRISP3,CRISP3,3263,True,0.00750472723768905,1.6133633490787151,4.9287443,7,False,ENSG00000096006
PGC,PGC,63954,True,0.21801022378613918,1.7484279745051228,8.4491,9,False,ENSG00000096088
EFHC1,EFHC1,72304,True,0.11651811436025399,1.1999510891984595,7.172635,11,False,ENSG00000096093
SCD,SCD,129268,True,0.26321951674439537,1.1187647643394603,4.043412,7,False,ENSG00000099194
PALMD,PALMD,52300,True,0.06865915622780537,1.1920509065444145,3.977473,8,False,ENSG00000099260
GADD45B,GADD45B,255494,True,0.6194335331463064,1.0614115334161058,2.7499766,7,False,ENSG00000099860
DERL3,DERL3,14403,True,0.01785599655474806,1.2729768121828282,3.733473,9,False,ENSG00000099958
OSM,OSM,21786,True,0.057945707384109306,1.4051630250335454,4.9459167,11,False,ENSG00000099985
YPEL1,YPEL1,13519,True,0.019392115137905733,1.1684821541224018,1.5894976,5,False,ENSG00000100027
CYTH4,CYTH4,32415,True,0.050537874617100444,1.2121566824500256,3.2520378,8,False,ENSG00000100055
MFNG,MFNG,48090,True,0.06841735969296375,1.166722506532175,2.4442,5,False,ENSG00000100060
LGALS2,LGALS2,15483,True,0.039275570998015374,1.5515825353773882,6.680785,11,False,ENSG00000100079
LGALS1,LGALS1,275914,True,1.0881226294197641,1.3268207525783715,9.876901,7,False,ENSG00000100097
PIK3IP1,PIK3IP1,109330,True,0.17875335710160126,1.046963357585785,2.3016644,6,False,ENSG00000100100
TIMP3,TIMP3,117809,True,0.2785524222677836,1.678608158696204,10.499086,14,True,ENSG00000100234
HMOX1,HMOX1,100599,True,0.20920001389136358,1.2299644061539563,4.726017,10,False,ENSG00000100292
GRAP2,GRAP2,13293,True,0.028154783625149858,1.3901099797359355,3.8552303,11,False,ENSG00000100351
CSF2RB,CSF2RB,31616,True,0.03922292650533648,1.105990293397371,1.6503161,5,False,ENSG00000100368
IL2RB,IL2RB,24925,True,0.04875982105914561,1.4052511433303887,5.0973744,12,False,ENSG00000100385
CTSG,CTSG,1380,True,0.003698175327187251,1.8283115391691465,4.578209,9,False,ENSG00000100448
GZMH,GZMH,28349,True,0.09264894254687682,1.8024504271497952,10.092638,12,False,ENSG00000100450
GZMB,GZMB,43512,True,0.18261214539773146,2.106908724162344,16.488598,13,False,ENSG00000100453
CHGA,CHGA,315,True,0.000951936335617809,1.270151806790753,8.233297,6,False,ENSG00000100604
TCL1A,TCL1A,1068,True,0.0036077632477345086,1.8896937905373896,5.4255157,12,False,ENSG00000100721
PLTP,PLTP,70171,True,0.11558112254263887,1.1453502440652403,4.497429,10,False,ENSG00000100979
MMP9,MMP9,5303,True,0.015314532914997675,1.5956904017567766,6.0832253,13,False,ENSG00000100985
PROCR,PROCR,47846,True,0.07008501416616279,1.0593188804219331,1.957645,5,False,ENSG00000101000
SLA2,SLA2,11104,True,0.025290281933086474,1.4175239711292502,3.928379,10,False,ENSG00000101082
NFATC2,NFATC2,24258,True,0.030604654546834736,1.1494860125509394,2.272854,6,False,ENSG00000101096
STK4,STK4,149074,True,0.25042780295573774,1.0458852420248317,2.2408247,6,False,ENSG00000101109
CTSZ,CTSZ,206628,True,0.45931120013487814,1.0431322119418647,2.2626395,6,False,ENSG00000101160
SLCO4A1,SLCO4A1,24575,True,0.04235710373302891,1.2469099058771635,3.8969958,7,False,ENSG00000101187
SPEF1,SPEF1,23556,True,0.030347453311824528,1.0748025523754348,3.6218183,6,False,ENSG00000101222
RASSF2,RASSF2,28751,True,0.04633774333315401,1.2418485653988598,3.6887162,8,False,ENSG00000101265
MYL9,MYL9,85109,True,0.1445159360709325,1.4934990923970877,8.229078,12,False,ENSG00000101335
HCK,HCK,78877,True,0.1432401178627551,1.1239366775688189,2.5702107,5,False,ENSG00000101336
WFDC2,WFDC2,252144,True,1.4263363802176403,1.55753951440507,7.059005,10,False,ENSG00000101443
PPP1R16B,PPP1R16B,12850,True,0.018641709045175283,1.2601228338982078,2.855295,8,False,ENSG00000101445
EPPIN,EPPIN,20486,True,0.027375890841894242,1.0460845214477994,3.6286528,5,False,ENSG00000101448
SMCHD1,SMCHD1,140044,True,0.20587317461430077,1.005370892599274,1.6207845,6,False,ENSG00000101596
RNF125,RNF125,32803,True,0.055705058169914265,1.2006079932915539,2.8660884,7,False,ENSG00000101695
CHRDL1,CHRDL1,10212,True,0.01391603894906347,1.1496388276945024,2.0509145,6,False,ENSG00000101938
SRPX,SRPX,30257,True,0.055946571572148725,1.3825010581517987,5.582174,9,False,ENSG00000101955
BMX,BMX,4420,True,0.006420054597905055,1.1875225289698563,1.6759927,6,False,ENSG00000102010
PLS3,PLS3,108578,True,0.15857572386545418,1.0452123422435897,1.6813574,5,False,ENSG00000102024
PIM2,PIM2,42736,True,0.06990281378383609,1.1529559476312212,2.8194668,10,False,ENSG00000102096
PCSK1N,PCSK1N,22088,True,0.0301592163205675,1.2769121454200596,5.970532,9,False,ENSG00000102109
GATA1,GATA1,1070,True,0.0022841704448334534,1.3489776532003028,2.667954,10,False,ENSG00000102145
CD40LG,CD40LG,6389,True,0.01584983764656641,1.488691092605176,4.149772,11,False,ENSG00000102245
TIMP1,TIMP1,309688,True,0.9774306265559402,1.1715520701910347,3.043812,7,False,ENSG00000102265
TNFSF13B,TNFSF13B,71625,True,0.1215705414802385,1.1479033274536867,3.3708186,6,False,ENSG00000102524
ACP5,ACP5,160464,True,0.48014067410015465,1.3615974080689632,5.50237,12,False,ENSG00000102575
MRPS31,MRPS31,118076,True,0.17566333615663612,1.0656290203101377,3.0621898,8,False,ENSG00000102738
FLT1,FLT1,27084,True,0.04490235353628353,1.2527297627109024,4.0312757,9,False,ENSG00000102755
RGCC,RGCC,229448,True,0.671192243855067,1.1782393877111417,4.4591503,12,False,ENSG00000102760
IRG1,IRG1,1348,True,0.002015826984887098,1.1312232240738627,1.8955096,5,False,ENSG00000102794
OLFM4,OLFM4,240,True,0.000599448369876279,1.3591491057264116,3.5145867,6,False,ENSG00000102837
MSLN,MSLN,71731,True,0.1687130604516692,1.3496697678505076,6.3391895,11,False,ENSG00000102854
CORO1A,CORO1A,109670,True,0.30658493118733887,1.4606801991568623,9.798969,11,False,ENSG00000102879
PLLP,PLLP,84783,True,0.11562187987485406,1.0393951901598473,1.4485571,5,False,ENSG00000102934
CCL22,CCL22,2541,True,0.005522625881132791,1.6266448179252695,4.7238493,11,False,ENSG00000102962
CCL17,CCL17,11367,True,0.029670407659607417,2.1004487549203317,13.893807,10,False,ENSG00000102970
CCDC113,CCDC113,34197,True,0.048415798835829506,1.100689372431199,4.5882807,6,False,ENSG00000103021
