,gene_symbols,n_cells,highly_variable,means,dispersions,dispersions_norm,highly_variable_nbatches,highly_variable_intersection,gene_ids
FGR,FGR,107870,True,0.2034951184515902,1.1040811702856352,2.0250876,5,False,ENSG00000000938
CFH,CFH,113428,True,0.18841291135828078,1.086728452918854,2.930069,7,False,ENSG00000000971
HS3ST1,HS3ST1,82919,True,0.15821595322487592,1.0755754789014753,2.5244203,8,False,ENSG00000002587
TMEM176A,TMEM176A,36999,True,0.061319516008389065,1.3340510600055462,6.5118866,11,False,ENSG00000002933
TFPI,TFPI,136851,True,0.270988556390868,1.222141886905037,3.2467694,8,False,ENSG00000003436
HSPB6,HSPB6,9350,True,0.012408911874819786,1.1739806912164679,1.6263086,5,False,ENSG00000004776
PDK4,PDK4,115019,True,0.18631245235583854,1.1143965456032263,3.3602405,7,False,ENSG00000004799
ZMYND10,ZMYND10,43465,True,0.08363580004611908,1.501949798300261,12.473605,13,False,ENSG00000004838
WDR54,WDR54,66682,True,0.10629436600887958,1.2144265228524858,6.705989,11,False,ENSG00000005448
ITGAL,ITGAL,42168,True,0.057930687900809026,1.1671218829253307,2.3987606,5,False,ENSG00000005844
ABCC8,ABCC8,1768,True,0.0025342276027319594,1.0135062547340095,1.9162309,6,False,ENSG00000006071
CX3CL1,CX3CL1,60585,True,0.08659342304090838,1.2595914444125482,4.519909,7,False,ENSG00000006210
TNFRSF12A,TNFRSF12A,114434,True,0.21166426622728327,1.1020356911965157,3.227593,8,False,ENSG00000006327
PRSS21,PRSS21,21978,True,0.034592831986751775,1.1252324199191597,2.866173,7,False,ENSG00000007038
PROM1,PROM1,46168,True,0.07749735168966358,1.122037376027237,5.4684944,6,False,ENSG00000007062
NOS2,NOS2,15441,True,0.021656379821163998,1.087201032134408,3.1481042,4,False,ENSG00000007171
DNAH9,DNAH9,29825,True,0.045926496651610485,1.2046936178141296,6.414269,8,False,ENSG00000007174
MATK,MATK,26993,True,0.05627118303419059,1.3513445317695165,4.3104463,11,False,ENSG00000007264
CD79B,CD79B,12883,True,0.025493812691135903,1.4427349238611218,4.6055193,11,False,ENSG00000007312
TKTL1,TKTL1,2108,True,0.0049151537302493655,1.2183414721032444,1.8986037,7,False,ENSG00000007350
SELE,SELE,4945,True,0.012570543293579654,1.8567019104499427,7.73752,11,False,ENSG00000007908
FMO3,FMO3,42639,True,0.07032979388488744,1.0492499150856638,3.4182153,6,False,ENSG00000007933
DLEC1,DLEC1,23729,True,0.031393071731234526,1.0982320145597853,3.681067,6,False,ENSG00000008226
MGST1,MGST1,291537,True,0.873177501823365,1.0596639342521494,1.9629419,5,False,ENSG00000008394
IL32,IL32,113099,True,0.32811178922413176,1.6771845707662298,13.72541,14,True,ENSG00000008517
MED24,MED24,84200,True,0.11970465353618957,1.0318200020522825,1.9094111,6,False,ENSG00000008838
TRAF3IP3,TRAF3IP3,33350,True,0.0673560622296542,1.4136602380969276,5.717513,11,False,ENSG00000009790
SEMA3G,SEMA3G,7133,True,0.00983700039554247,1.2362349716856769,2.2550054,7,False,ENSG00000010319
STAB1,STAB1,25379,True,0.053065112942278385,1.3683066240775088,5.3926682,11,False,ENSG00000010327
LRRC23,LRRC23,81551,True,0.12317415586721221,1.1238198636987105,5.779044,7,False,ENSG00000010626
FYN,FYN,54492,True,0.10537216513230728,1.3137976281287422,5.344427,11,False,ENSG00000010810
PLAUR,PLAUR,170643,True,0.4976792877437849,1.310459492910337,6.06702,14,True,ENSG00000011422
DCN,DCN,44412,True,0.1568680293342458,2.578018604657935,20.901508,14,True,ENSG00000011465
ZBTB32,ZBTB32,1523,True,0.0031675135229942406,1.2861523293335273,1.8116146,6,False,ENSG00000011590
TYROBP,TYROBP,199201,True,0.9787414060180282,1.7510368858637257,12.500033,10,False,ENSG00000011600
CD22,CD22,10149,True,0.01617568296936508,1.2159329545299937,2.0178313,5,False,ENSG00000012124
SEMA3B,SEMA3B,21646,True,0.02526110825146392,1.050118776726317,1.5825841,5,False,ENSG00000012171
LTF,LTF,25685,True,0.052553001990051286,1.9856628887295418,15.450812,12,False,ENSG00000012223
ALOX5,ALOX5,103424,True,0.20652793505599948,1.1338563415159244,2.6526356,7,False,ENSG00000012779
GPRC5A,GPRC5A,136435,True,0.3586743115603054,1.2111413376285871,4.7800837,8,False,ENSG00000013588
CD6,CD6,16991,True,0.03190967440549282,1.3166308176033092,3.7826965,9,False,ENSG00000013725
WAS,WAS,74824,True,0.11216739693688953,1.1299823576193215,2.891594,5,False,ENSG00000015285
CLCA4,CLCA4,25604,True,0.05929674778540784,1.0262372336102663,4.4688187,6,False,ENSG00000016602
IGF1,IGF1,19462,True,0.037447362216519904,1.411812968123126,7.765258,10,False,ENSG00000017427
SLC11A1,SLC11A1,126512,True,0.33212787796509213,1.1897054822065563,2.8460984,7,False,ENSG00000018280
VSIG2,VSIG2,89574,True,0.17652478769511168,0.9915883253723309,1.9946493,6,False,ENSG00000019102
MARCO,MARCO,114686,True,0.4185440236488846,1.6324160828215994,6.0994287,12,False,ENSG00000019169
CYP24A1,CYP24A1,17213,True,0.03173376514423537,1.0603412482791437,4.1906724,4,False,ENSG00000019186
RUNX3,RUNX3,43613,True,0.08560411004780537,1.2568378960834767,5.0692825,10,False,ENSG00000020633
FHL1,FHL1,89678,True,0.15112117698582253,1.1522579670797366,2.732998,7,False,ENSG00000022267
BIRC3,BIRC3,125874,True,0.28044925515517816,1.2800526833226678,5.5288515,11,False,ENSG00000023445
PLEKHO1,PLEKHO1,46282,True,0.06302394361639646,1.148911219252375,3.216133,5,False,ENSG00000023902
HSD17B6,HSD17B6,40249,True,0.06235724138729809,1.1195790927241707,1.7749616,7,False,ENSG00000025423
VIM,VIM,333996,True,1.4403038310057368,1.3740205685146516,12.989361,7,False,ENSG00000026025
SLAMF7,SLAMF7,18922,True,0.03074335896312224,1.2469309859107518,2.940594,10,False,ENSG00000026751
PRKCH,PRKCH,73777,True,0.10692263116899771,1.0615008255174985,1.8597082,5,False,ENSG00000027075
SH2D2A,SH2D2A,19829,True,0.04431513791163074,1.4116711835910627,4.9882298,10,False,ENSG00000027869
TNFRSF1B,TNFRSF1B,74081,True,0.1513912600304876,1.3071527377858299,5.725693,11,False,ENSG00000028137
POU2F2,POU2F2,32995,True,0.046051701156380846,1.24868372608078,4.3680716,11,False,ENSG00000028277
IBSP,IBSP,171,True,0.0005772495019499002,1.1127640019975493,1.4588896,5,False,ENSG00000029559
APBA2,APBA2,8387,True,0.0172888334138982,1.3649477042790192,2.8195918,9,False,ENSG00000034053
EFCAB1,EFCAB1,36951,True,0.06586640254753054,1.4009082843456488,9.385239,13,False,ENSG00000034239
MYOC,MYOC,2709,True,0.003915423119337834,1.2427730387027711,2.545999,6,False,ENSG00000034971
DAPK2,DAPK2,33348,True,0.042975749100692684,1.0821931589125513,1.3607934,5,False,ENSG00000035664
STAP1,STAP1,4715,True,0.0070652130341281654,1.3806802723287017,5.030833,8,False,ENSG00000035720
VCAN,VCAN,89468,True,0.21713582942888593,1.5427207143860602,7.895668,14,True,ENSG00000038427
MSR1,MSR1,97356,True,0.252824424507012,1.412122074083882,4.7663255,11,False,ENSG00000038945
DNAH5,DNAH5,50799,True,0.09114987658277741,1.319909370544637,9.9435005,11,False,ENSG00000039139
TNC,TNC,52201,True,0.14152107019335872,1.1260795142143727,3.4063182,6,False,ENSG00000041982
ADAM28,ADAM28,75209,True,0.12690045896526306,1.114512079991305,2.6946416,5,False,ENSG00000042980
LCP2,LCP2,83282,True,0.13563541567017873,1.2098275020966496,4.717915,7,False,ENSG00000043462
ADRB1,ADRB1,26477,True,0.03389645264220693,1.1098889091350448,2.1306136,5,False,ENSG00000043591
GPM6B,GPM6B,40896,True,0.05199469135555109,1.1369859953030437,2.1024227,6,False,ENSG00000046653
CP,CP,98058,True,0.24553541565372153,1.3007580707704591,5.8413854,11,False,ENSG00000047457
TNFRSF17,TNFRSF17,1598,True,0.002799951560072056,1.3688240257546518,3.6857052,8,False,ENSG00000048462
UTS2,UTS2,1679,True,0.0029696856533390627,1.5653985366060712,3.6353354,7,False,ENSG00000049247
TNFRSF9,TNFRSF9,5073,True,0.01231767417773314,1.4484846428889748,3.3403072,9,False,ENSG00000049249
LTBP1,LTBP1,23553,True,0.029417766141335983,1.1017230357493315,1.8755976,6,False,ENSG00000049323
ELN,ELN,39677,True,0.06243613620508137,1.2882709863809276,5.6090455,11,False,ENSG00000049540
DKK3,DKK3,39839,True,0.06497067727123938,1.3243267018524965,5.1226454,11,False,ENSG00000050165
