Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
TMEM54,4762.074,3487.893,3119.8276,3052.5938,10171.307,3795.4297,7888.3525,4094.9143,6218.746,1705.0902,1557.4946,4193.802,8632.41,3716.9717,2718.6938,5249.332,5126.9854,1459.5837,7174.704,1089.2773,4843.5127,860.3483,4011.412,5094.3145,4135.515,1035.2874,3959.1025,2581.4204,2288.253,2888.022
PSMB2,2238.2742,1889.6323,508.609,1219.9714,1316.7794,884.43994,2642.9392,1492.2871,1191.2268,2421.6538,1901.5425,3423.842,503.81653,603.77246,3737.4175,608.44934,2873.638,2267.5083,783.42957,816.0243,1587.6124,1602.4597,2861.1921,1615.4918,2041.2495,1268.9163,735.67993,2589.5295,2813.918,3472.8643
CLSPN,1668.7152,2550.1477,6907.875,3974.6074,4836.8345,6035.8096,1540.475,2027.5791,1903.405,4017.4102,4338.7344,4305.642,4910.5103,2632.3672,5078.5835,3868.5337,2359.686,5813.812,4986.081,1566.8604,5305.842,4395.145,3679.1162,1387.3279,6617.498,1294.5482,1820.7288,4932.208,4232.0195,1345.395
MAP7D1,1083.8623,8699.311,1789.0493,1375.8577,7197.217,6879.3936,1532.7896,4235.9365,1990.8169,2727.6887,8551.336,2749.5134,1118.2405,1201.7852,6126.5283,1453.1838,971.1531,2093.9802,8363.206,10160.664,4742.3154,3074.7302,3274.5076,2649.618,6609.749,3273.617,4712.2603,3597.0603,1134.2327,12468.657
CSF3R,299.90472,685.89233,409.6568,198.54207,475.81418,339.59204,206.36299,1249.1339,756.14246,720.9966,1643.5791,406.12012,622.9021,866.80444,582.268,622.54517,281.25995,1150.3969,430.98218,223.42062,590.4136,1598.9153,513.6958,1976.6212,498.85846,1837.5896,656.0231,275.01257,1052.1628,361.788
CDCA8,4837.4443,564.47565,1134.7859,1369.0703,1058.3119,439.1957,2290.8926,1075.7468,964.8887,2077.9126,686.44305,802.8707,953.21655,2056.455,517.9264,1338.923,4640.076,991.048,2014.7677,551.6263,761.691,1355.2402,1465.1898,867.0326,871.749,509.52905,2057.5366,809.50397,2022.2352,1409.6228
CAP1,902.5719,549.1233,720.90216,4029.4448,1661.9426,3476.5352,1926.7708,1354.2771,3999.6792,1534.124,1712.7653,1587.898,4318.3457,392.04105,3377.3457,1010.69055,3631.4888,2820.0466,2497.4014,5625.4775,3091.6406,2489.2424,673.67444,672.05115,670.97455,1665.7482,2332.6294,2158.7275,2577.1057,439.6031
COL9A2,49.399998,208.91626,70.32808,55.662777,138.09448,51.86682,67.71932,189.49399,66.18945,68.05144,157.81097,96.81007,53.17386,61.587116,159.75015,85.276245,95.296135,235.2882,60.000683,64.47131,72.52779,140.3515,58.571518,170.40343,65.239105,212.83534,40.88667,66.98923,106.54479,85.314995
CITED4,40.757023,37.23586,61.214798,68.20425,34.06655,49.834007,67.06869,71.24821,47.095467,93.65264,111.1006,51.28443,70.75925,36.56009,81.27197,93.07799,32.534435,46.648933,93.23495,55.996704,36.885372,32.95059,48.268036,112.06998,93.20721,46.80185,206.453,84.236465,75.380615,42.601273
SLC2A1-AS1,88.74306,165.41689,116.451065,57.060154,161.61557,86.643814,159.70274,109.01921,83.09056,102.66237,87.17761,213.82745,85.85338,85.670456,78.01503,148.1066,65.20995,96.88544,95.84504,108.53024,96.20306,63.433727,102.268616,47.62523,124.13935,66.60675,73.70418,114.77209,212.46335,172.48761
