Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
MIR3945HG,68.584045,90.1725,84.12047,102.105415,75.27672,109.45079,223.648,199.09079,67.68654,94.67663,474.2411,69.037346,166.96298,64.391525,199.28654,102.71642,63.319664,68.25069,57.080112,214.60318,61.18953,230.09962,60.61721,113.92668,86.25406,316.6364,58.73143,60.884483,385.1078,83.10896
FRG1,1515.6232,800.7625,1048.0071,3407.3408,4338.495,5390.001,1347.9219,1785.816,1733.7266,2664.2178,6163.6494,5216.5186,1865.6047,1160.8672,1186.6167,2632.3706,1165.2567,586.035,2074.1455,646.9358,1330.8933,5915.6646,2952.5532,1191.7534,1800.009,1951.0944,631.7758,679.229,3278.0806,3013.5186
MIR4458HG,2252.1284,1335.8717,998.22925,1861.1697,582.36316,2975.2056,3697.5962,5423.8286,1340.8761,812.5706,3874.082,1959.8033,2590.7734,3828.2231,1910.2225,1441.904,2326.669,3241.8276,5764.955,760.11365,1031.1848,914.5624,1421.7026,5239.433,645.65765,4585.829,798.9824,1812.0112,4548.702,828.2918
FYB,54.435745,52.913067,45.83142,90.09521,59.509235,147.06679,22.183308,34.00634,34.867046,57.171223,22.04772,18.911787,33.304054,49.100147,109.498825,61.235016,71.426155,94.80292,99.34901,84.11647,21.000954,27.075827,102.47568,188.93105,51.06068,25.195564,17.941088,17.49258,66.26769,98.37416
SEPP1,1396.7496,3536.7727,1538.0497,1708.4232,1903.4982,4024.5542,4255.617,1385.3849,2081.8381,982.6858,511.18848,3265.5732,3418.3762,3439.6875,1119.6958,3198.4084,936.2751,534.7671,3503.3872,3420.7073,492.809,3121.5693,4369.4844,1874.9373,618.66235,1706.9019,1006.85724,2759.1807,2494.7805,1985.4127
ANXA2R,230.06708,189.61708,350.43558,668.2556,418.0614,148.34056,293.41675,132.8233,117.0464,374.03656,380.7339,363.24246,303.31955,116.28111,123.9079,181.22824,122.56241,248.68074,750.1222,127.242485,138.68954,411.47968,229.9616,304.53308,256.6168,157.43538,779.37976,149.33469,277.4717,258.87048
FST,51.90809,38.597763,36.080074,104.43294,89.84803,47.84798,32.866234,57.663628,46.599316,85.320656,34.73707,33.061527,38.242516,127.65341,56.408813,42.607613,48.776592,30.249767,56.71712,76.38011,94.05983,33.43765,86.24302,84.53679,48.429085,30.015789,64.261765,48.994774,63.047943,34.357758
PLPP1,16.087528,65.75716,45.088703,48.054607,22.906582,75.541336,19.0413,17.481533,14.369711,26.029957,39.405785,18.567825,51.665977,110.85771,70.923355,20.473951,64.23895,82.00044,19.952364,45.28521,15.599137,90.95055,51.680267,114.89329,19.20347,26.404255,86.17244,19.044369,25.765163,34.872093
IL6ST,99.83398,112.56018,120.29154,124.76852,368.9529,148.15228,342.6983,104.41287,303.79538,142.09003,198.33554,137.45403,256.00775,243.01376,220.56116,432.7206,91.766365,172.30768,185.25418,415.29993,126.26659,83.74816,128.50595,197.11214,137.47485,96.51744,162.61957,170.72981,121.65916,146.97728
CCNB1,2017.5078,2501.1382,2902.0435,2986.9553,390.69476,1605.419,1398.4784,566.10565,575.0499,1322.4535,781.0399,938.1281,541.881,1328.1691,369.018,1040.4066,2663.3071,1914.2051,1444.3405,2342.5962,547.151,356.77847,622.3972,1417.0668,2381.7769,441.72125,717.20337,1201.251,2784.894,2923.7112
MAP1B,2561.9897,504.42767,1007.49817,1337.3076,3013.1748,438.07858,2021.991,2047.9272,424.3956,1033.3708,1945.9376,934.23535,658.3053,300.3631,2071.9363,378.42734,2192.2842,2644.355,620.5029,1412.2151,1967.1409,518.89606,3498.2668,311.23932,855.1632,1037.3982,1718.0953,1153.6523,1181.1349,365.29727
MEF2C,1068.188,2668.5266,5236.5757,5497.5723,5358.1484,9805.602,877.6504,1875.2582,9317.513,771.825,2772.4346,1583.682,8061.388,4310.414,5118.45,1509.0837,4424.6187,1973.6812,1116.567,1943.5135,3180.5757,3260.9675,1282.3047,5784.921,5021.9854,2084.8047,1827.3113,6818.8105,1707.1056,2126.935
ARRDC3,87.77194,168.40912,41.30091,58.873028,48.87057,73.21347,101.67134,211.41417,48.505974,45.404564,49.02024,91.55028,70.41786,69.862465,54.244762,98.22527,43.290577,38.431854,157.9977,55.081776,49.758263,39.477585,70.429245,111.73558,36.805817,46.81976,75.65611,90.68234,39.856857,121.85766
GLRX,220.43457,478.16342,374.14417,184.1211,1094.043,594.4756,442.86395,196.57404,184.43051,281.00592,1345.3206,212.3001,530.73486,211.41032,572.33044,182.7032,205.82759,344.65128,381.01654,193.47038,274.7176,261.79175,709.31287,1195.1074,199.1908,758.87134,267.9106,305.3527,472.00732,225.92555
ERAP2,22.7075,45.71398,30.13408,41.645275,88.43842,49.15435,18.499508,49.59858,63.90503,33.53123,26.319,17.645159,17.145802,19.923378,22.092875,31.964281,21.470839,57.06209,73.92502,15.02256,33.661636,55.67134,15.730851,55.016872,25.958525,19.89065,18.296701,51.892735,52.7947,13.820784
TNFAIP8,168.84644,349.34515,171.09833,120.09464,819.84314,882.60724,230.5581,489.00085,1054.6277,188.09358,882.81805,137.39153,270.82544,439.51624,188.57906,155.3052,236.10919,144.28505,142.90482,144.24722,138.56827,381.3214,184.93045,876.26013,225.18518,506.51984,145.8428,131.08405,181.0741,133.06519
PPIC,342.9717,1343.8344,464.98596,678.3496,2759.5684,769.2843,2525.5547,1806.9795,1540.5244,382.4086,329.58044,716.3256,929.67285,287.05286,1554.6582,815.7197,304.97168,594.10114,553.4171,1359.5751,220.72928,1394.5471,1202.5066,500.4449,1062.9624,271.85916,1803.8287,1126.6597,2036.6471,3091.1228
PDLIM4,160.17715,142.08925,171.99136,90.57698,211.30972,103.78293,98.926414,144.19626,131.17474,174.94128,206.00551,95.10899,157.10953,121.096016,247.86613,265.06586,233.6884,101.10751,117.798996,225.76704,121.66106,96.033035,127.79863,183.54164,256.41193,398.05457,131.42702,367.7466,161.79488,245.74496
IRF1,116.99447,330.2907,112.692474,82.59021,508.71326,417.99557,305.16318,473.73358,446.04462,259.9816,259.26874,208.98895,162.35132,89.22604,185.90892,108.787445,107.84068,321.72458,444.39673,98.367355,83.60835,389.07007,217.35283,189.38972,146.55106,97.42532,107.9752,126.69025,102.36836,114.87177
PITX1,4157.671,6774.094,8892.687,2923.4084,1718.7933,8106.4307,1306.6786,3578.9236,8379.96,3332.547,8229.365,2864.3728,5585.422,2970.234,1982.1599,2908.4907,2564.4756,1212.8726,6069.3423,945.7999,7374.9756,2412.4302,3564.3179,5204.584,1395.7899,2603.6892,8428.606,2561.8657,1430.6719,4257.5547
EGR1,1208.3566,325.86206,1117.054,994.379,1508.0465,2039.1931,1734.1975,658.5373,1905.5239,1197.5886,2278.8071,854.1825,1719.6503,509.11743,3205.6133,637.4623,288.26996,472.58243,579.031,718.7469,1512.7377,1840.5824,388.4074,1756.7931,393.97705,295.88156,2373.3625,314.8244,2109.115,494.82162
SMIM3,37.04687,47.052532,212.44705,38.84188,58.9807,193.49414,87.48308,56.49156,47.429043,44.204727,109.08843,37.889847,37.82064,41.19033,86.61502,141.0461,114.37307,217.27693,64.99457,162.17918,50.379486,58.607124,39.425537,88.0517,58.91692,119.69314,131.9195,177.77745,144.7463,126.50419
FAXDC2,56.899452,51.628326,145.31668,48.93036,225.67554,71.89828,137.10837,180.91202,138.70444,70.69891,220.78078,131.17255,72.866135,169.96988,124.89133,66.402176,45.934402,357.04306,72.74282,82.339226,99.40679,45.462326,49.701283,54.64926,212.65991,158.64252,208.11838,136.74826,180.3358,42.586067
ADAM19,26.294804,49.876003,39.566307,15.198589,37.773865,30.33038,21.715954,69.57631,15.406073,18.58134,23.666399,25.274384,40.884926,23.665447,52.1446,28.992908,40.665882,33.32714,38.176445,23.26854,17.223751,82.8097,67.727905,59.86181,49.108864,23.420889,16.900219,63.191425,17.845652,22.89524
PTTG1,9322.832,3999.6685,2471.975,3452.7495,4677.903,7866.878,2766.9355,9117.686,4064.6372,2582.6245,2871.5464,5935.089,3701.6077,4494.5234,2145.0178,8744.103,1454.173,2214.9153,4916.8643,4776.9443,8095.5674,8064.1235,2046.6406,7064.2524,3579.689,2135.1226,15395.037,8808.139,7709.4355,2405.6191
HMMR,2072.961,2169.3228,860.3964,2497.1094,298.44092,2895.8438,1992.2253,1313.9594,559.037,936.2245,709.08386,1921.7684,514.0232,622.1373,1064.7336,1256.1288,1582.0818,453.36072,2649.631,445.48166,1652.3586,650.5189,285.09454,718.5499,985.27594,334.69275,317.08783,558.8189,1417.9624,1331.4954
DUSP1,58.71471,86.89017,60.003784,46.944054,148.28935,190.90936,49.174942,242.68051,114.586365,59.760017,70.96136,80.63225,158.00146,133.74925,255.17593,263.1565,47.56199,69.2427,210.55026,93.85494,67.208145,110.751625,71.62936,56.581207,56.40184,50.13379,66.59829,67.298134,265.59595,121.33197
ATP6V0E1,786.0704,581.93475,499.86945,937.01404,628.8639,766.75006,612.5158,436.13535,609.093,673.72797,3438.6387,1962.7324,920.3925,550.3465,426.19006,670.5494,2293.9338,366.68042,1477.8508,398.76028,302.6105,805.7248,3550.8218,1181.3414,4225.741,2389.7834,1675.4458,683.19775,1046.357,577.2097
CREBRF,122.27648,129.81342,142.75342,129.12083,302.92154,94.3391,291.8646,139.48186,171.83669,255.10056,107.47229,158.11789,193.15387,140.84317,124.57858,311.5324,351.32214,110.20742,135.23016,278.95694,106.347,99.123375,71.71125,160.32028,167.83206,142.5153,217.62497,92.32297,150.291,85.18901
CPEB4,586.4547,197.62947,1043.2664,392.671,958.2599,238.82776,1081.1766,702.73615,299.372,318.03094,165.36237,186.24127,769.2463,184.63434,1164.3806,822.40405,390.8819,1311.7114,797.81305,1184.9094,220.37543,1053.4849,457.6902,235.05818,641.917,424.41638,584.93933,281.79834,251.96829,461.01556
HNRNPH1,5425.292,11665.023,9223.16,6836.0244,3590.923,1391.2938,1837.8422,10528.195,1866.9559,11258.02,17443.76,4837.871,1612.127,3931.8013,7899.241,6823.772,1349.2114,5064.7275,3192.3691,1295.3828,10211.074,1400.0945,12594.072,2321.7852,18080.527,5294.3667,14569.074,8117.0483,1500.5457,4156.0083
SQSTM1,612.0554,348.8943,1101.7996,805.6417,936.84766,1878.2727,1156.8911,2783.2922,490.39764,1088.0442,718.34424,2262.739,2055.832,714.05774,4892.189,2704.9429,2596.3618,433.43274,1868.5446,2706.8474,602.817,803.632,499.38892,652.9088,858.3371,1140.3223,876.14465,292.0407,505.2802,1303.4362
BTNL9,11.716639,27.244732,9.2810755,26.135307,35.51558,49.214745,19.297617,42.799454,20.966469,13.859968,15.04818,11.145514,13.250452,10.131023,10.672982,15.844642,21.224335,30.291218,16.07687,30.819056,10.064911,18.156693,20.54752,27.433409,27.067694,12.65176,16.05573,18.360237,28.06584,17.518099
SERPINB1,694.7241,424.5552,493.0696,518.87976,683.7033,341.21988,805.5163,1808.9762,1980.8253,368.51166,1013.68665,439.79416,676.0298,300.36792,508.4262,606.0144,2159.1133,558.86414,298.52072,1128.7163,1056.7115,637.8575,1086.3834,1695.1228,957.5625,343.37448,1583.3611,1693.4886,664.88464,355.372
SERPINB9,140.9919,306.2702,169.22536,481.6194,806.67737,559.7014,943.16254,495.14282,777.9121,363.70636,498.69073,559.3475,265.39056,177.43593,480.4736,305.54523,264.68008,146.06087,178.4505,168.34663,876.0366,145.15466,565.4637,790.5558,154.96451,622.98895,446.27966,152.50705,293.8051,188.48395
TUBB2A,140.4035,123.72653,132.03102,89.6068,190.20927,76.79833,75.420685,468.84076,56.95014,89.42723,273.63992,162.43207,74.69063,60.417084,280.14447,259.5769,124.24933,91.09302,71.64321,334.66,58.359875,57.883125,80.73842,86.956055,145.59076,106.071724,60.591576,66.04504,274.65295,65.29793
TUBB2B,684.79877,521.7091,658.9117,366.79788,187.68118,132.79782,496.56122,632.32947,392.44092,496.08386,190.62819,379.41275,375.7275,122.342896,562.71204,218.53877,891.421,370.1936,245.93715,281.53882,237.28285,154.61526,358.25046,385.31833,220.64148,169.88947,497.65662,268.12558,339.32,180.37952
PHACTR1,376.65863,740.4811,557.22284,721.4895,226.24313,1261.5933,210.89899,478.70154,243.6448,875.517,284.47058,218.19623,763.01245,243.96582,567.70746,310.8585,1645.6401,943.4489,1508.9817,619.0395,1134.8455,229.6658,306.2305,1117.8862,189.45364,1130.3926,1038.905,916.9151,275.8242,258.4051
MYLIP,1641.4752,1239.4287,518.8021,571.31824,660.192,1042.5049,1013.49634,592.3723,334.95438,1465.2383,287.77692,301.69617,1422.6554,317.17694,1216.0552,1031.253,1213.263,1700.4312,224.96729,873.3779,498.13043,604.0308,267.1778,723.7598,657.8737,234.90044,369.54935,229.7152,1205.6536,619.4193
SOX4,860.18414,2378.3098,505.23373,381.511,658.42236,306.23193,1246.3779,1543.7649,849.9666,1208.9576,397.4787,885.30786,482.4582,641.6922,277.3937,869.7004,376.2833,1706.148,726.36566,1448.6571,1516.6771,308.17166,1408.2714,389.16357,359.5242,1709.2874,1180.7855,714.2163,350.80338,388.40393
GMNN,2765.7104,1643.0902,2260.8745,3000.8813,4181.051,1648.8027,2391.9392,2056.7944,1140.7446,2227.1992,3102.417,4401.403,3463.285,3253.8564,6041.6416,3318.0264,2329.7998,4924.7334,5575.537,1512.8887,3775.2957,3950.5732,737.8386,2823.4148,7153.4653,891.3148,1208.6736,3066.055,1635.9984,3993.504
RP11-367G6.3,42.469177,21.362768,40.23761,16.713219,74.02644,35.157845,73.82333,83.19298,48.23216,44.385487,52.568584,20.785471,22.787327,37.264606,33.518757,59.64052,62.332047,29.673088,16.86022,16.962606,22.14884,74.222374,48.39714,23.088873,19.974962,21.660776,37.63727,43.289276,41.496418,46.364708
TRIM38,225.6373,222.2424,451.39624,209.48285,258.29462,1008.5207,415.06805,388.02405,181.3767,323.4119,600.97174,578.20166,309.4787,158.48773,311.04297,347.54346,458.81375,455.17828,398.78424,260.36423,939.70325,488.20386,357.20456,254.37741,243.85155,199.10626,425.76794,184.3692,434.82278,427.86215
HIST1H1C,13586.687,9354.915,6948.4473,3089.3435,20842.652,4289.584,19464.572,7094.07,19145.666,42444.402,4310.383,39660.5,2897.157,2784.3232,3250.3337,32794.68,5156.8623,21275.383,22240.988,25595.389,17163.98,11226.569,7017.2637,19255.203,3040.3213,7805.833,7961.339,11412.007,18205.799,8008.213
HIST1H2AC,6325.985,3144.775,1519.8606,1898.7717,1321.2407,1422.1348,956.0139,4736.534,824.57214,7333.588,3469.135,3974.7947,2542.6921,2176.0786,1225.5608,9667.263,1824.3506,2538.794,4280.131,3933.9854,1241.6237,1878.0104,2462.1548,10225.144,1580.4873,3298.2988,5258.865,1547.869,5362.164,702.76874
HIST1H2BD,733.76086,129.52036,179.33429,259.53366,375.12628,546.2793,228.5398,592.2347,290.68286,1509.4698,640.48627,1034.9949,135.8199,413.26074,179.50989,1261.8772,225.2027,508.36942,333.596,437.41275,693.7354,494.05774,335.40076,535.9577,168.74536,146.07751,293.50775,301.508,678.78467,225.63911
RP1-34B20.21,607.9313,225.07173,398.15198,113.451965,262.7097,165.4196,130.10852,450.56107,127.22215,832.8749,164.68166,510.89386,291.37265,165.16959,173.55423,887.252,201.97278,332.58615,357.71573,228.05081,147.57108,129.219,98.09712,792.27576,404.78012,115.327805,652.99286,306.9616,380.3117,150.70993
HIST1H4E,278.9068,80.15834,77.21043,55.02519,154.40985,159.56314,132.59758,116.67935,208.12013,147.9632,96.391685,92.467735,98.30049,153.13835,72.02204,208.21457,80.490234,75.09726,80.29726,307.253,73.13889,66.44484,220.33505,413.46637,79.37906,81.72521,273.6565,80.73135,143.52322,104.22946
HIST1H2BG,568.1786,246.5452,123.793045,157.43408,271.68744,150.55478,197.8743,465.79987,145.04117,800.8557,263.04462,339.84662,298.78735,99.708725,395.9395,1015.9142,118.79757,147.03163,279.6833,280.42886,292.60767,204.86526,247.32152,449.9317,148.99097,186.53366,655.61975,281.2544,520.2197,141.73294
HIST1H4H,1120.2549,203.22705,303.35168,378.636,216.09155,657.2704,373.14795,835.64343,230.06192,2101.94,1267.5027,1599.0282,419.86282,580.43585,305.5277,1841.6506,505.31396,1406.0546,974.4242,296.827,643.0231,926.36475,582.1959,1090.6165,480.35468,330.23367,273.20236,223.16257,1192.6155,928.42706
HIST1H2BJ,12018.007,4960.9443,3721.6606,2378.9604,1558.7253,1523.3911,5754.4224,1486.8885,6101.696,12840.2,7460.6865,10606.507,1414.3298,2382.0364,4032.233,18687.44,2121.622,2570.0962,2943.8096,4058.3677,3251.3984,3897.5222,3285.272,10987.902,2029.4303,1278.8182,1197.692,6505.3193,5875.56,2808.8987
HIST1H3H,374.13385,519.7347,402.44485,385.01373,630.7213,672.9645,830.42883,1464.3937,291.2644,1318.9165,979.68286,340.85242,310.74777,979.3448,408.16373,1804.8876,1082.8662,731.1788,1492.4458,1216.3445,865.811,829.5665,977.2534,1721.0244,707.494,1228.7244,252.9914,1476.7723,571.1152,359.53607
HLA-E,83.7235,304.1593,108.64891,442.16296,246.9554,206.6386,135.21484,173.78088,116.06023,251.35382,172.20941,358.07278,104.197266,188.2376,162.80823,220.22723,166.19183,366.05093,101.08039,112.79622,86.464226,109.430824,115.50507,464.37576,100.998024,334.57327,84.744316,129.80487,227.38837,200.59521
PPP1R18,544.2507,1086.6432,726.6552,2727.3118,2210.5981,543.5759,2170.4385,1548.4626,3672.37,1886.0813,1392.4912,839.2315,1309.237,1317.4978,2724.3914,853.08813,4234.7812,738.1714,1298.3965,960.4302,416.03165,814.73596,2280.699,926.3659,625.99365,2940.659,525.31116,2233.7703,3632.8782,699.89343
TUBB,5412.891,4596.488,4272.7246,1085.8949,6565.3105,2941.5632,1534.9873,4202.491,2894.0347,5075.314,7369.543,2235.9846,2295.2036,9512.941,1625.3842,4786.549,5516.232,1999.8613,11467.05,3411.3354,5541.4272,2608.7495,4884.1504,1382.2787,3974.8042,1643.2283,2913.8513,2240.3086,2466.3,2854.7493
IER3,430.63608,95.35423,160.44987,307.41022,339.23352,105.10959,399.53632,295.33502,225.4197,95.60549,327.0514,242.83075,314.96692,114.5997,736.0683,680.8758,93.143684,117.75958,87.82144,713.08875,133.40118,101.282425,383.06012,97.15313,165.8026,407.79703,86.95842,90.40892,420.91705,93.389175
HLA-C,395.25974,988.4904,330.67053,458.90802,1500.6575,965.6464,1081.4355,1124.1859,1841.0276,408.85974,1107.4979,237.99185,312.66772,297.2094,370.0777,786.048,434.26868,1089.511,404.30692,795.8099,422.3073,1023.7577,267.46982,369.5281,453.569,254.78546,475.4384,656.5667,430.4103,1097.2035
HLA-B,273.2932,143.46103,104.528595,201.28491,374.2118,230.57837,226.31085,263.1803,368.9239,72.18199,209.33594,100.39625,130.52148,135.6959,89.533585,132.44617,83.93561,240.62122,264.73514,223.12909,114.827255,175.46182,109.42263,75.2892,99.676704,119.38614,128.7873,98.356094,80.82541,83.43549
LTB,273.03156,206.29614,271.54764,192.4957,63.31465,456.46594,238.86688,114.800316,453.00818,505.5006,254.67303,68.24574,296.1284,202.90907,59.062138,229.30673,65.983635,320.84637,103.71043,256.15225,70.71065,172.68994,123.6212,178.34946,68.82932,356.00253,160.49965,294.9701,96.095215,79.102554
LST1,756.24725,2835.2363,665.66406,761.37085,3504.406,3750.239,3123.3398,1280.3141,720.65076,587.6206,3881.8694,1407.3953,3169.2234,3242.9185,1127.8735,1645.5037,646.21313,661.82623,937.7675,1350.641,520.6433,1710.6753,856.47906,4940.4185,562.8401,4628.861,1111.9309,2326.3848,1406.4315,1651.73
AIF1,739.0647,2535.2793,1560.9165,1084.7916,5398.3267,10198.006,2242.1484,6992.781,6049.4272,3920.2866,4967.868,1341.6791,4770.1753,7289.416,5711.5474,5407.8086,2402.8499,5476.85,1129.1902,5399.1494,3892.5994,936.9716,3777.6382,4540.7915,1206.9811,2984.639,3589.192,3420.961,5837.507,1270.9402
CLIC1,728.27826,4025.186,797.71826,1822.907,781.77155,1205.6407,2697.7957,806.63965,1034.79,2558.8264,2400.038,2287.004,1939.9692,5520.5547,5058.7944,2089.8625,3716.761,2502.2974,3418.3853,1080.2174,1376.9873,3800.0698,1301.6097,3759.2666,816.87256,617.11176,1789.4952,731.70386,1047.1534,1686.4742
HSPA1A,1169.6636,1874.0564,653.12604,1137.1353,641.2074,1353.6538,391.25232,1446.6094,281.71707,421.17065,203.23593,218.1194,412.4767,217.60806,1092.6271,662.81354,432.3023,340.3416,265.5473,825.54517,156.7105,1808.4722,617.4574,664.26337,362.80075,1202.9563,802.5526,221.08508,224.89554,227.04796
HSPA1B,104.42518,126.46625,64.80934,66.18197,69.70576,335.9558,79.72834,97.587074,58.490433,56.588364,99.676575,61.874405,63.59279,64.27977,56.995075,176.263,74.01654,90.41287,98.97461,114.43428,62.651276,76.68837,66.930756,66.55863,70.43656,186.71234,154.99838,70.3978,69.360016,68.757515
C6orf48,3514.1543,1937.6365,2107.9312,3127.1074,1447.6888,1466.2052,2566.2979,4956.1294,908.43286,4559.934,3508.4246,6175.07,2201.2026,2007.6165,1650.3799,1015.5128,983.3774,2084.029,2847.8247,1963.8173,786.1553,975.08936,1263.7422,3117.3481,5035.8623,759.2092,2025.294,1712.6006,2132.4805,7914.649
NEU1,199.76767,220.40924,642.4634,1214.1545,363.5017,563.0025,450.2745,1346.4615,919.07666,180.14777,352.47382,609.5659,321.36554,371.78668,435.2447,1954.303,186.99666,557.8672,380.5155,1230.4988,384.08066,1041.5552,505.22098,688.7966,318.04428,458.50302,195.85915,600.8101,201.54672,509.55826
GPSM3,699.9939,2426.601,745.6471,4594.0957,1330.7224,2654.338,2625.3835,3311.8408,4941.259,2604.979,2797.023,1670.9219,792.48615,2184.1914,2308.6382,472.64944,528.4668,1548.2651,2346.1963,536.5044,465.31226,591.086,975.8528,698.05774,607.08496,4011.7583,1221.1326,1035.2917,3067.7275,2707.1975
PSMB9,728.99286,1040.2703,414.56042,413.6652,2008.2825,1772.9761,996.5924,1194.3716,1695.2158,378.49152,298.04935,166.97159,816.35486,418.39188,233.25278,322.19662,229.4804,1651.7981,1609.116,694.20483,231.68521,1007.983,611.55835,1037.178,295.63138,203.66156,235.57565,364.80417,207.08675,410.32895
TAP1,147.64108,135.55592,109.920944,147.1857,275.5298,263.5375,114.41833,236.65305,242.71115,124.226166,38.120914,37.083755,190.42378,67.26397,60.75049,42.6028,37.87319,229.18279,183.9198,65.36719,46.240517,165.62659,60.759163,125.20156,62.409676,39.825584,51.754555,45.160076,41.168762,35.773563
TAPBP,331.83752,728.3329,305.1795,173.68115,1233.457,1081.4807,1060.3512,796.822,1563.9067,630.0704,1815.2698,395.20587,431.47644,226.007,250.28494,535.4506,256.6714,566.4154,1670.2938,212.44394,483.69476,1081.2844,378.69446,465.02377,1035.0605,1143.0338,1439.6038,462.94293,1067.5498,287.9842
C6orf1,238.19617,902.9957,362.09125,333.3807,222.17334,761.9249,401.00787,828.6986,1599.5249,462.09528,275.1381,206.11282,846.0695,222.56787,1470.1995,338.43378,978.5392,730.0421,363.7461,316.76062,692.5951,254.08363,243.6818,229.71869,727.75055,581.55774,894.5671,526.68677,815.2288,417.44055
CDKN1A,59.390728,31.102541,24.126242,19.111267,39.392937,151.18475,51.645973,36.37159,60.128555,65.59881,172.47803,62.473602,23.868565,51.033836,79.90653,65.62132,64.072914,25.621338,48.21518,117.044075,21.886555,21.31284,20.899963,68.81051,36.150925,82.93077,39.181145,88.20758,112.74305,27.279922
PIM1,1089.6824,3046.8354,3330.0159,1035.5657,963.929,7379.039,1113.8647,3419.3992,2335.7139,1574.9641,1791.6797,748.08105,780.1384,2554.6396,1862.1436,1743.5072,842.2477,1417.7498,2307.1328,3364.0283,530.65,1496.6809,1245.6267,547.50146,793.5977,4499.634,2697.5354,2271.0684,1912.6064,2542.4253
TMEM217,34.404533,107.480896,83.00104,59.797768,100.98244,44.204514,43.492126,159.7938,65.98686,143.40804,96.145294,65.946335,50.443195,41.153313,73.8281,99.99632,28.534678,63.758804,57.883617,84.24609,54.80607,32.623753,69.8697,62.586807,108.85942,53.863075,52.91967,78.73366,72.39114,32.4692
PAQR8,408.54587,807.7224,569.8251,415.70984,523.9154,227.07986,152.35794,863.0542,441.95404,261.23022,670.2613,574.392,176.5687,350.3871,819.8045,343.97583,803.7754,350.106,217.4952,606.7759,997.0829,859.20935,143.17874,316.3515,156.99783,236.3187,584.77014,543.6079,480.91046,300.5478
RP11-301G19.1,26820.455,6870.9033,2154.8306,9223.669,6457.0415,11081.559,14744.566,14649.9,4002.835,8997.129,10593.488,1909.7439,8254.447,5269.3955,2984.9658,1577.1818,7966.285,2827.5786,8780.393,13354.195,12704.473,2490.1768,3591.1384,5393.83,4237.2285,19631.008,2931.435,1696.5505,2463.3816,2109.972
PNRC1,581.2761,973.1267,848.5383,824.0506,971.80676,1635.114,406.03284,594.10266,2235.9617,1020.6266,2203.749,495.73428,458.453,486.95404,1282.0105,1618.008,1265.387,504.40375,794.88306,319.94153,522.9029,458.57312,1038.167,3422.7788,892.62634,1484.8789,919.30054,961.728,677.32166,417.88467
POU3F2,65.59505,47.129654,129.19868,65.07527,45.464046,193.5744,117.48407,52.963207,86.32426,41.485855,153.58525,115.02261,38.503242,134.63243,41.383953,59.014587,75.87076,40.643288,80.66473,138.54898,49.667606,107.54279,50.28167,45.76983,58.545242,75.49,47.327835,68.44711,63.569317,50.356426
PNISR,781.62274,2517.1035,2044.0233,2442.6953,3338.6401,1165.9485,755.1153,769.93677,3972.4639,1109.4297,1515.0613,569.87213,2047.25,1006.9049,530.67944,2945.8513,699.6894,2001.8269,1423.0774,1032.1115,746.66565,1928.1052,493.6629,2124.7524,1984.4347,762.13403,1052.7449,589.66736,2302.482,671.7155
PRDM1,18.520897,21.06708,34.324932,30.7641,47.094517,85.125565,25.488777,25.716452,34.542557,62.916676,20.762968,43.636284,29.194965,23.530037,23.743092,31.364397,31.131592,20.043108,51.745235,22.997036,19.318783,21.5283,51.568474,34.3122,38.50997,30.183077,19.919176,21.581089,49.165413,70.11849
CD24,13.31106,15.512527,11.77482,14.239313,46.719223,17.338055,21.138453,20.333166,23.898216,13.070252,39.924698,15.469122,23.713787,28.623192,46.970512,36.4811,15.060535,43.856102,13.089638,62.318054,25.470865,52.462025,20.081808,23.69535,11.455858,12.451381,22.98339,12.409414,21.073595,12.447944
SGK1,79.76662,168.90268,110.43579,53.33876,159.53847,120.03933,259.16003,256.8582,194.00908,76.59151,321.86972,67.07164,148.0963,56.745613,121.581,263.75497,100.26245,130.77951,93.16459,137.36923,94.40968,132.04698,189.8706,211.02539,237.34668,117.05026,190.01808,95.848785,65.0528,115.12003
CITED2,799.83105,979.6637,2201.7332,1185.7678,1610.4872,864.20337,848.92395,1520.7555,573.62946,1215.5609,924.61426,376.0929,894.18365,854.6214,1626.7205,404.3944,1625.0149,940.38245,596.8407,546.33936,373.40613,1108.221,676.9252,1759.8469,573.19403,2097.9563,314.28754,493.661,575.29175,285.21048
SOD2,341.05945,588.2582,483.5986,382.46228,800.64856,230.47838,457.478,707.62805,843.4934,262.0004,364.15543,175.09021,270.8295,354.1372,590.32947,318.90076,251.13663,513.68164,994.2717,229.2056,1552.7975,425.97827,323.86453,314.6356,184.84604,453.3603,167.63214,508.68042,384.5566,205.08128
RNASET2,1718.2601,479.22098,1332.4546,1377.7983,1596.5106,2011.3215,3115.0452,1491.7843,2239.4607,299.57538,435.1312,316.16202,1189.9661,1041.9221,831.7162,1362.9117,320.88754,1670.7294,434.18646,2283.715,887.6898,456.8221,994.0952,1087.5784,1574.4929,491.77884,376.98352,2035.15,2575.773,2283.2297
