Gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
SAMD11,9.841661,4.045812,3.3361635,5.474274,16.552979,8.426413,4.066111,2.982519,2.2762628,6.5285125,10.387955,6.8077936,4.1079698,3.9312198,1.0735242,5.5492973,37.0326,25.883724,5.2156796,0.6830399,2.6529129,7.5971813,8.121956,5.3294544,5.576224,4.5305142,7.086713,25.932602,6.248412,2.2709928,6.9555902,11.132332,4.8721294,8.528395,12.308333,7.436907,7.356238,13.28102,1.7015511,4.5168633,0.5755112,4.20814,4.2703485,3.8238025,7.82885,11.419216,4.3539143,17.81669,9.23078,4.11541,7.6161184,2.709937,3.1761267,9.206941,1.8337531,19.955454,3.3524432,5.6012354,3.3516023,6.4142613,3.2777135,10.678087,2.2760227,2.615875,8.857819,5.9588027,11.32177,3.5550635,0.85847145,4.0316668,27.358532,1.6660402,2.5403645,4.6540914,19.410269,4.139229,3.9943411,5.505815,10.067761,3.404673,7.4148293,9.413227,13.621656,5.8965077,7.3571277,5.087937,8.869915,5.4266706,3.7476413,18.146946,11.613493,3.1866543,6.809493,6.4973407,10.561464,4.9768877,1.5034552,4.4744153,9.365315,12.98317,5.3093977,5.072274,4.014615,2.6539414,5.889147,113.93544
HES4,133.66165,42.843,108.53071,89.046974,314.87042,126.18131,97.2265,102.8066,57.295746,189.6582,148.12022,157.28519,86.2579,112.91753,44.53981,108.80824,118.80917,295.6823,100.650856,48.958256,45.08662,155.77547,173.943,89.59051,76.78342,122.034996,98.48392,160.79105,164.0753,70.82789,198.65536,282.82272,202.00885,145.91618,191.01573,110.22798,179.2289,143.58113,41.139015,101.903244,27.282778,76.90949,60.967743,58.23203,174.82573,86.91574,97.65762,157.99854,183.15506,109.61827,122.15668,54.126934,61.39808,135.41098,57.40476,454.0993,46.51409,69.81834,98.30048,128.34639,106.88102,196.99826,80.30389,80.40185,166.03612,202.04161,187.73796,65.2498,49.26366,44.57775,220.0661,22.059286,88.45979,70.743095,180.43161,98.92812,95.15159,92.188354,51.185005,78.98565,86.80547,170.20953,116.8558,121.185974,207.4509,113.50553,235.79927,134.52698,73.81169,90.02598,140.64175,77.69925,130.00197,135.05127,146.3149,111.643036,57.45483,95.88282,183.9412,289.99197,160.87268,36.034584,148.48544,102.896935,147.07957,2634.534
ISG15,228.40028,95.19659,182.05545,150.52937,560.6441,217.50987,184.36925,172.42445,114.48983,333.98325,294.44363,260.40463,144.47078,198.97583,88.62988,245.62105,210.70462,554.0226,181.92293,97.35284,91.10956,259.6074,291.86194,173.57315,163.70462,231.56366,174.22073,306.36243,274.90652,126.24721,319.23492,679.17114,302.84686,245.70319,332.4011,193.64474,356.64627,309.89334,81.3209,198.54623,42.231533,120.81854,93.60156,132.45503,340.2806,170.3172,172.3628,250.51086,292.63846,714.15845,229.96811,104.80698,89.5687,250.5443,101.64179,707.3323,90.111176,159.97366,157.05959,234.97783,204.34848,320.9648,137.61221,139.22649,321.7922,475.90842,326.15125,131.09917,87.46175,84.43975,450.6075,43.604927,160.17513,121.431046,272.78635,159.05588,163.39392,156.70143,112.99426,116.71016,121.72619,333.8379,206.83449,209.35394,444.01932,183.95578,373.53192,222.31892,114.71253,197.70496,302.33377,139.81876,274.79587,274.35156,231.17786,211.72427,109.49963,155.69766,320.5943,480.01398,270.48065,81.23095,287.65567,189.37953,261.41998,4687.459
MMP23B,11.760161,7.603161,6.4077234,6.976034,22.975657,8.823672,6.97854,7.3256974,4.0837355,10.954521,10.933233,11.694991,12.60546,13.749233,5.3002763,12.037201,9.770791,22.43498,6.1843247,5.8603597,2.7576263,17.470049,10.95593,4.672043,6.276539,8.523273,5.0922465,7.48595,13.409385,5.94188,10.546991,15.249181,10.936848,6.5785584,10.922058,10.446858,12.379914,7.0420485,4.9286284,6.6998277,2.2291327,4.295085,3.949124,5.853452,18.241842,5.458003,9.296013,14.03171,10.543248,7.9351134,9.127438,4.942016,3.9125364,8.033959,2.6399372,31.27022,5.0701265,4.520334,8.064672,7.6195736,8.645085,14.916051,5.3129196,3.7973366,12.61773,8.8234005,12.084084,4.762882,3.2776084,1.1174939,13.774223,1.3930205,6.777796,8.182512,16.684778,10.993341,5.2081294,8.1359005,6.5100346,7.184403,6.51029,13.613621,8.856683,9.202042,15.077007,6.8815184,19.528341,10.626736,4.4854965,7.4094462,13.583289,6.838462,9.572791,10.658307,11.816292,6.602958,9.980702,5.181749,11.772341,24.840794,19.144361,2.8015797,11.367662,7.274998,9.743255,164.88524
SMIM1,151.86008,69.48076,109.411415,171.94112,309.69116,118.62143,110.42136,111.83391,91.16686,208.91571,149.86139,196.20912,125.37315,202.4705,77.887505,176.07085,135.93234,316.47943,118.83557,57.0234,76.29287,256.39807,226.54465,94.97987,81.96818,115.587006,96.12322,159.87036,248.91205,70.847015,190.93947,277.5469,207.74992,130.93933,235.02188,158.74779,206.3162,183.2859,64.293915,131.79274,36.575977,70.81866,62.709545,104.35445,200.04341,119.32192,183.36414,167.87662,491.51013,92.87281,123.18707,58.16209,58.88624,138.77277,52.640347,411.25568,56.439182,90.56846,96.959915,127.93964,103.86417,176.51585,85.57927,91.19393,160.1873,162.42123,196.77019,86.16547,46.64204,31.857042,231.52463,28.40163,119.38251,165.19269,340.92822,139.0623,102.034805,113.99921,71.07633,126.752075,89.53945,177.05128,120.701126,159.56918,193.67184,146.81361,213.28838,134.81876,60.19586,93.97495,256.34323,76.271805,176.58038,148.67735,137.86955,116.4342,203.97015,94.39891,200.00006,327.7375,229.20557,54.03444,202.93813,92.87288,131.68703,2585.513
LINC00337,5.983468,3.694703,3.8495069,1.8445611,12.524967,5.511385,6.7785625,2.0636792,1.6898546,4.0064635,5.7979507,4.2160006,5.0127935,4.2290606,2.445507,3.2994044,5.834632,10.269366,6.0641403,2.1027114,1.0483907,4.1894197,5.0481873,5.4885616,3.0615995,1.9546562,4.400864,8.384366,4.5758004,1.4309458,9.02547,14.513308,7.6878395,4.8972425,4.5537443,3.4464808,6.0987377,5.8768706,1.4555701,4.455378,1.8089437,1.7366624,1.4538612,1.4421846,5.5541663,3.353455,0.8938285,5.780033,5.216967,2.3150077,5.6276093,2.3249633,1.4880118,5.757271,1.7364448,17.603947,1.7907525,3.5972567,3.9648545,6.322106,4.1706614,7.7759724,2.0304642,2.6550229,6.4054794,4.6483536,6.404855,1.731535,2.2334878,3.276467,7.926193,0.5754133,2.4473104,1.5619221,4.6547256,2.608949,2.7469015,3.306266,0.7579263,3.7760186,1.772768,6.791982,4.491891,5.172645,8.345243,3.1697013,6.648821,2.969163,4.2712827,3.8846445,6.2724743,2.2107718,5.528265,3.0979257,4.009027,3.6288326,1.9746604,3.9114032,4.3964615,8.733945,5.287412,1.1925905,5.9942307,3.873705,5.6802235,100.243286
ENO1,713.2778,378.15305,529.2922,468.38477,1846.6116,700.58594,633.9307,548.6693,388.9408,1072.449,821.4354,777.095,557.092,733.7873,312.87512,917.19604,705.38367,2093.0051,540.50757,363.37885,293.6861,893.3095,967.8832,554.07556,421.0466,890.08575,580.077,909.46686,856.03625,390.1338,1217.0702,1562.9062,991.643,706.5923,1146.7195,656.784,1084.5026,923.3821,322.0101,552.96826,219.2365,394.94324,369.40784,481.12683,1017.7669,517.11615,556.8237,732.08105,1226.0771,651.03094,687.6639,348.02432,294.4215,802.30145,336.88504,2715.745,279.1473,513.1621,478.9682,798.16815,774.8799,1239.865,457.6824,484.59647,1032.4612,1024.0842,935.8822,423.83908,287.99695,243.18031,1380.9783,177.99162,452.17847,431.7747,902.9468,577.8279,525.0189,487.03287,386.26456,471.1952,444.5615,978.70087,696.2458,741.7651,1140.6536,575.1393,1265.1974,700.4457,403.98068,659.56287,1082.7357,458.20493,816.94727,877.34576,757.7483,615.58997,570.7038,458.9848,937.0339,1510.7402,896.8266,293.40033,899.25964,637.48486,741.9548,14965.463
GPR157,3.1848056,1.1664207,1.299932,2.0989354,5.469716,2.1837125,1.6160582,2.2164123,1.4454288,5.4194613,5.7786603,2.7937999,3.1635787,1.5085248,1.106617,1.5088726,1.492808,5.314233,1.4525774,1.3387754,1.2034856,4.200366,4.3074718,2.4489262,2.1060534,2.2904294,3.450724,4.1509805,3.8306139,1.9177829,4.0893593,4.1053348,4.2648273,3.7648478,4.645946,1.050094,3.171665,2.6256561,0.15778787,3.6067522,0.5322861,1.5301372,0.63241625,2.1853805,5.2125306,2.120888,1.2503082,2.9036276,2.062521,1.8980428,2.9598894,1.4019077,1.2477628,3.8239841,2.6730573,10.589332,0.86876106,1.5686047,1.5769542,2.10435,3.382082,6.0217724,2.4294784,1.5895766,3.999227,4.463339,3.2008853,1.0431296,0.8267425,1.07653,4.2214136,1.0338131,1.1643255,0.50355667,1.9113178,1.9912685,2.1794243,1.6267498,1.3444381,0.68747705,3.7860577,3.5941255,2.5686774,2.3103673,5.638794,2.3827424,5.2628984,3.1940749,2.0031786,3.2040133,1.5511457,2.1972377,0.6851115,3.26805,3.3884668,3.7082546,1.1430297,1.7762544,3.6801867,8.123024,3.012705,0.8796257,4.883541,2.5048594,2.5546281,61.37858
PGD,310.46442,122.77445,234.26402,187.47662,705.1829,265.18713,259.30737,235.01268,142.3959,425.70383,320.39532,328.75153,173.64607,256.40475,108.281425,539.21075,338.30273,917.98456,240.82335,113.272934,118.99858,344.902,381.42963,236.70558,188.67178,286.05527,220.10355,370.4413,378.44376,169.837,441.98828,611.9305,381.52692,327.93448,453.90186,251.42613,432.94293,370.49234,125.77353,233.97424,70.045135,158.25668,127.26898,158.3627,408.18515,203.2688,220.36726,290.59625,386.56192,210.89403,276.99048,141.71426,128.19019,311.30853,129.96849,913.85706,108.574425,195.41034,204.6764,283.61703,254.34146,424.49313,180.78545,181.67616,373.7102,396.28107,416.72632,152.29164,112.97974,102.54483,544.71826,60.513874,192.7061,152.62967,314.81165,207.89438,209.86322,207.64026,143.83084,160.79607,165.77928,361.2046,267.8323,251.04976,495.99835,238.92784,501.39825,273.51773,155.53212,245.4666,352.02283,176.12659,331.45,351.68744,301.9552,256.22018,141.01013,183.18265,405.04938,592.20746,332.87933,105.276344,345.92377,231.45827,289.83582,5797.9067
SRM,759.3459,345.2234,554.28674,533.442,1611.4899,624.9834,577.6672,539.2034,398.31964,944.09216,804.446,740.7512,446.68494,621.5073,272.2647,1347.1602,841.74664,2299.7375,567.47046,331.97784,259.28973,915.5587,895.6755,526.29205,515.27594,684.3933,491.13522,812.10815,978.78925,378.93176,1083.4082,1425.3142,932.217,717.4989,1098.6053,650.4793,940.35895,878.66003,291.35803,496.74216,255.13705,370.5192,317.5826,501.85568,985.23035,655.5079,531.74115,714.48645,1206.9177,510.08914,596.88837,350.06366,287.30215,685.78876,308.66293,2739.8704,272.22034,450.14948,430.54617,727.5105,618.99927,1035.4971,450.7808,446.42593,945.9117,936.1542,920.69586,433.7632,287.49188,271.30374,1383.2528,176.07896,463.08405,542.62317,828.4387,599.0882,484.68634,471.37604,392.55475,433.92798,414.42883,793.33466,694.50415,708.35614,1184.7213,523.373,1187.4548,617.90094,355.28082,558.87085,1170.0122,451.17645,817.02026,834.6309,692.264,549.77454,605.0445,438.80594,920.67505,1436.0198,789.27155,286.8223,797.6523,565.23096,688.63983,13290.734
