Gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
CDC42,885.46326,352.92026,668.5802,617.02277,1950.6929,777.856,693.1827,654.2096,402.4015,1183.1145,973.7156,948.88525,476.25574,737.19135,265.04883,1074.201,781.2366,2048.8088,655.4362,306.8284,312.4204,1062.965,1003.6777,641.5033,465.05334,826.3722,581.3375,1066.9949,1082.1329,502.45215,1213.8452,1877.3146,1158.093,825.0376,1314.1564,741.98663,1280.0496,1088.138,305.9603,622.7384,179.89236,477.53763,343.2858,506.96313,1156.4634,576.24567,619.84296,877.5842,1138.7068,623.49255,789.6123,430.06705,396.01068,849.7849,370.0921,2656.6748,313.55545,542.5111,557.5016,850.06635,756.5332,1102.7697,489.3545,479.06403,1030.7368,1214.5509,1193.6047,458.00714,336.05377,237.03261,1503.6909,179.64319,566.95746,493.4767,1002.3175,574.50195,581.95764,574.98584,424.0343,512.7457,434.081,1065.3398,777.56213,679.26697,1305.811,726.32965,1344.1577,795.7035,462.65912,649.4609,991.6807,483.80582,874.2711,960.4268,819.05414,667.23987,463.89877,542.02655,1148.7388,1716.7681,968.93665,281.3996,960.86664,567.7712,842.728,16182.219
ZNF436-AS1,58.108547,22.672314,33.641357,40.05349,112.328995,43.660454,38.682205,36.717632,28.433357,59.735443,58.539135,45.25418,44.18053,48.43372,24.819447,45.74334,40.835625,116.597206,36.19864,18.152452,21.210573,57.602734,66.235344,38.37773,31.032679,44.063145,36.34062,58.613,53.074924,23.386763,75.63283,93.84628,52.65091,48.093567,71.44373,50.0171,82.17809,60.519085,22.707415,38.226536,9.4397,26.52898,25.550581,25.094006,63.444046,45.50708,35.82283,56.790356,83.61363,41.174805,39.95915,25.478485,23.767414,50.61885,18.545479,136.1738,18.1305,26.610804,31.558695,42.17847,42.43809,61.16356,28.742716,30.568352,63.044113,54.99138,70.80268,25.639936,21.35153,15.55225,77.92638,11.554185,29.323112,20.080862,68.74,42.80243,35.778316,31.54583,19.155136,30.981306,23.521736,60.72073,42.0717,38.07364,99.64434,47.02986,91.96169,52.30283,17.71207,43.645794,69.9588,31.28366,54.421997,75.37757,43.65796,41.707573,31.205862,35.604294,68.59557,106.92998,65.14744,14.283289,52.80347,28.90722,44.815136,864.2572
ID3,879.14404,216.65466,511.54395,464.82904,1690.6111,605.0571,680.44775,539.5083,577.45447,954.5677,902.4142,664.2892,402.26535,593.226,285.8546,701.2015,1963.4395,2571.734,624.79285,317.47412,219.36707,971.1328,752.91144,569.9238,433.85245,535.4114,510.51624,1095.0105,854.61053,349.62543,1184.907,1419.0786,750.2174,970.4521,1918.5537,876.86456,1172.248,1377.5004,259.80707,552.5779,322.64243,309.2779,254.87144,597.3774,1207.932,770.0622,448.26474,642.65125,738.98175,468.6067,557.2655,385.02618,338.14435,779.3491,281.8086,2801.4614,230.94254,546.1593,363.3235,582.0309,764.78455,1012.3496,402.05002,390.8053,1020.1834,1032.3481,963.1011,419.92075,204.4227,282.50076,1908.9116,131.92673,427.29974,349.41937,671.54504,433.07172,458.87976,313.1249,622.3229,496.19693,447.75607,790.3439,1807.9824,705.3905,815.26337,585.401,943.37244,614.70557,344.98148,739.7498,891.4835,433.28296,879.90015,1007.8736,759.3858,560.105,559.71326,432.75882,921.67285,1328.8185,661.06464,393.24307,814.0159,431.59222,829.03827,13087.416
FUCA1,48.758583,20.42807,33.771034,28.461615,99.80488,40.65204,35.218353,34.71978,28.219822,62.643124,48.249504,48.524612,25.90678,41.401367,15.332043,57.67578,33.06896,97.73682,31.56043,11.064069,19.564928,50.138836,58.733906,28.28215,26.416996,37.877888,28.794254,48.687813,60.55229,20.889387,65.381355,88.4006,57.454975,43.942204,68.287735,38.873367,60.394028,58.74141,15.7854805,34.3238,12.581531,17.933868,16.68926,31.63032,61.398846,33.66286,30.026045,39.782394,70.69367,29.452389,42.375355,19.369768,16.472544,41.53212,17.17072,127.73877,13.041649,27.164204,23.246689,41.69251,33.477673,56.840782,22.247107,25.294344,53.19439,60.047005,60.773354,20.58874,13.57542,13.722273,80.772285,6.8640156,27.878302,24.756687,48.63667,27.826292,28.860424,24.93626,18.481424,26.675638,26.940905,47.81855,39.50216,37.520126,66.76308,33.473564,57.951424,37.6,18.750841,26.92839,47.027004,22.428978,47.57422,45.769608,37.51892,37.167355,53.52726,28.36756,55.911762,78.91232,48.588863,16.583504,48.635715,31.988253,39.365665,766.57733
RSRP1,275.3817,117.09501,218.30147,188.70032,601.7122,238.0265,215.39436,220.50024,150.50691,396.16446,289.9382,304.72665,171.6885,245.02684,99.972305,333.3638,261.50522,645.404,204.66982,114.82181,115.963356,352.76297,349.55597,204.3699,153.52153,234.86497,190.8696,325.76395,350.29236,152.19418,367.73618,572.2232,333.62045,242.49332,432.799,252.13359,417.85083,343.9962,119.28767,205.88658,85.88934,150.7638,123.59893,170.10315,373.52444,210.6494,199.26744,291.1789,429.61197,180.62029,254.12828,126.22301,110.8939,273.09943,117.867065,819.3666,97.0705,178.73589,179.85129,247.67519,224.55312,364.4673,157.75975,156.89035,324.39124,355.90173,377.42548,148.6127,101.96491,88.01608,472.545,52.996956,180.53421,180.70685,324.05106,217.74689,182.70381,178.37866,127.40207,170.2873,154.84238,320.10342,248.94624,241.93242,420.65955,223.91113,393.6315,233.3189,128.76994,226.19075,338.75235,160.888,314.39203,317.56702,265.68958,216.63647,179.8187,169.98268,352.36896,563.0749,338.22595,100.8869,331.0028,216.60156,261.98138,5120.59
PAQR7,11.18874,3.028767,8.312927,14.032425,34.785393,14.544896,12.602209,11.270583,6.738756,22.374454,15.568575,14.609163,10.136264,14.796085,7.2454615,13.966629,12.349405,30.289062,10.4865675,5.6607933,6.6486015,19.83602,21.039948,10.035297,6.28577,10.477642,12.258338,14.539372,19.013172,7.646487,22.020155,23.716179,20.359512,13.280048,17.484158,16.829329,20.598112,16.86533,5.675323,12.805739,2.0097556,8.113113,7.1665936,5.983389,17.913584,8.217881,10.6449995,18.314255,16.273146,16.16352,14.71166,3.4460015,5.260538,18.389694,4.258151,51.00868,2.9117765,10.7370205,9.950555,14.879065,16.09341,21.451082,11.9488735,6.3109455,15.249062,18.750727,18.853693,7.867461,5.6068244,4.7418637,27.470917,2.0721598,8.264549,3.7745929,16.755304,10.501565,9.35931,11.947517,7.81289,8.584944,6.3549714,20.551096,15.609948,16.638926,17.537102,9.965786,34.350735,13.006267,6.3147273,16.011805,10.445697,6.6136026,16.668413,16.352625,15.661157,16.133682,7.081629,10.152981,23.971437,33.24411,14.927505,3.9710755,18.36708,9.305013,14.310658,293.3784
STMN1,1069.1472,466.60788,708.9137,814.0248,2137.1768,771.8082,829.9683,743.017,537.4621,1387.2775,1082.3485,1019.5587,797.0477,1175.1581,508.6977,1575.412,1108.6327,2886.488,702.4188,454.79498,414.3446,1501.4556,1164.7428,646.88086,733.9909,990.96265,657.1051,1144.7366,1326.2913,546.551,1262.2562,1861.4679,1173.027,951.0975,1483.6022,896.41296,1394.7029,1297.8573,451.9869,776.1748,359.03784,483.0279,545.065,848.2601,1329.4803,986.9862,774.3356,1246.9294,1635.5288,763.77124,899.60754,476.66962,404.3905,967.1589,437.13528,2911.1519,361.0747,644.44836,654.2163,815.5738,793.1227,1237.9697,583.43823,558.2116,1153.9626,1250.8147,1222.4407,560.7417,360.66885,311.25677,1698.4474,211.86841,674.93085,636.2842,1404.2323,816.66095,683.0907,658.66364,478.5074,835.4765,597.5294,1116.6318,925.8578,996.2095,1442.749,761.5618,1583.148,874.49,422.66663,871.82495,1621.994,594.6033,1092.6011,1029.4185,872.3836,719.9163,980.9363,577.3992,1282.5503,1985.192,1117.0348,422.35324,1108.2825,767.4812,975.79724,17308.684
SH3BGRL3,1794.3708,706.3507,1139.8118,938.11816,3381.1638,1292.9686,1267.1659,1073.1875,670.1123,2011.2347,1905.9227,1766.1346,903.4878,1280.8304,589.4311,2308.3818,1650.6177,3718.2605,1126.6781,585.6331,623.42316,1820.5112,2245.2922,1129.1396,1015.7537,2110.8071,1250.8225,1897.6853,1771.1006,897.8616,2297.023,3738.6199,3124.21,2019.525,2135.4312,1286.3136,2034.3971,1772.3801,535.3323,1179.9382,457.3459,817.3941,675.7661,790.1417,1880.7124,1010.5801,1176.3265,1630.3077,2240.1357,1250.5128,1288.9431,698.4124,609.4022,1540.6044,678.5846,4767.2134,594.60583,991.60175,915.7521,1443.8351,1356.253,2047.6173,868.1118,872.91943,1907.823,3182.4182,1924.6486,741.98645,638.4739,453.2345,2987.4822,301.9076,889.8063,999.5152,1689.4009,1158.1963,1063.3468,1041.7606,682.31793,982.7971,819.07245,1769.7314,1283.2407,1306.2836,2630.6519,1166.9312,2440.9631,1333.7504,765.01794,1168.8058,1755.3358,929.0246,1786.8796,1945.4271,1478.6685,1203.379,718.00604,949.76,1909.719,2900.919,2078.661,533.37805,1807.6621,1057.3926,1490.9594,28083.521
CD52,361.93832,151.27908,170.63849,142.34615,439.11514,163.23651,145.59645,150.18707,137.62476,247.7448,273.57635,234.61693,167.07576,180.74983,83.27939,743.0617,359.752,933.98865,194.9373,156.55188,98.26878,275.5571,277.78607,218.11566,165.95584,565.2759,163.27878,266.1906,238.3512,216.6987,316.739,891.79114,429.1876,281.29758,320.7778,212.45505,335.78006,315.8791,86.7061,166.47977,168.72572,102.6017,112.87283,219.13626,429.3771,221.24388,203.70361,256.5275,392.2461,290.07422,201.34756,108.60453,101.10233,252.05661,109.768295,786.3326,88.16069,145.73074,124.010956,186.72171,171.34363,278.93176,144.47385,104.28489,297.3615,889.49286,326.72443,166.67088,102.94261,88.19454,672.5747,37.092537,117.11408,150.86948,280.00638,171.57767,157.11592,125.94505,110.31497,251.12189,95.42304,258.8171,185.3918,226.9927,1372.4207,137.8894,359.78412,243.11247,113.92761,215.81747,388.0245,162.04349,384.43152,250.43869,188.638,209.93813,132.71846,140.55782,298.24573,434.46054,234.73094,127.04166,252.9649,126.17146,233.00488,4073.1409
SYTL1,7.996925,2.1065032,7.0736356,5.096305,15.5893955,5.211491,5.535463,4.1577177,2.7795122,8.775391,8.644999,7.278104,4.0693655,6.187031,1.0897018,21.036585,20.004362,45.76507,7.925799,5.377951,1.4691224,5.808302,7.9887304,4.9759083,9.017427,15.489728,6.747151,7.5689187,10.875455,3.896483,12.115601,17.468296,7.974026,16.872013,13.165416,7.230212,12.056075,9.601516,3.3990178,5.8230534,4.9741173,5.154598,4.575742,2.3174267,10.486428,4.130159,7.7333155,8.245334,6.311919,4.109134,6.7892056,3.3287241,3.0302405,7.113686,3.3841333,19.649498,3.4981422,4.886056,5.32339,6.0932245,7.1900477,9.465823,3.8315248,6.3970294,15.456882,12.127127,9.246382,4.5692315,2.3724692,2.1827526,20.478172,2.881527,5.513425,2.9838374,5.8740635,5.041765,2.964847,4.557949,2.204956,2.997991,2.9920642,9.46487,5.490154,4.2139373,11.722814,6.1830106,18.45252,10.4186735,2.526844,6.621478,17.88919,3.4777806,6.562793,8.351475,6.15083,3.4739923,18.015467,6.0869937,13.009422,15.32952,11.51341,2.1636622,10.37492,4.591542,5.7365904,141.49913
IFI6,18.796932,9.714014,14.068857,11.030053,34.01899,10.226214,9.966658,13.895554,6.9439316,13.35703,14.96054,15.11793,7.267638,16.839228,5.8760233,30.827404,12.120383,57.095947,18.470558,7.2397947,7.15284,16.699202,19.639715,16.167122,8.718194,15.934421,9.840292,11.181138,18.256699,7.6889944,20.632896,32.29432,15.950003,12.925675,17.9337,12.465173,19.406475,17.64811,6.4747553,11.742234,3.1385877,9.411774,8.914548,12.205267,22.390333,15.798439,10.050169,14.781944,18.550488,9.49605,14.61349,5.307951,7.1071153,15.684282,8.536849,37.934628,6.711972,10.285192,10.248103,11.615551,15.332902,15.304619,10.642182,7.9916134,20.739233,19.010618,21.894714,6.3549185,3.8763971,5.6113834,31.599405,2.3913386,9.502091,7.4729586,21.290174,10.875204,9.766375,9.658311,6.6601963,7.139595,5.087254,16.220226,18.139462,12.9044695,23.775824,8.790136,20.684532,7.424104,6.0508165,15.10467,20.382717,10.37272,15.267004,10.652396,13.987742,10.440107,4.228469,6.500865,18.407143,24.63509,13.429426,4.0258327,16.95165,7.619308,15.946569,266.93048
THEMIS2,30.266954,13.911512,21.168163,25.449505,63.81906,30.96411,23.240784,24.264046,15.167199,44.957928,30.768145,33.19097,19.838375,31.95275,11.324491,117.80311,45.30295,171.18149,31.756107,16.542921,12.2250185,42.613297,44.90005,23.538027,19.5621,23.299719,22.07668,30.128355,44.60127,15.607302,35.27175,60.185722,31.159428,34.648193,40.985107,20.835167,42.817875,37.275406,10.250231,26.269653,11.430067,14.0215,12.5595045,13.031971,48.045986,25.274048,24.30822,28.514687,51.17388,18.154827,30.304081,14.736735,16.840416,33.12538,13.59435,99.562416,12.486707,20.411774,23.23964,28.396482,23.987055,40.970055,16.960495,18.106285,35.918217,41.545895,45.455566,13.707762,10.548543,7.8878717,59.01594,5.5419474,18.212196,19.928919,37.125305,16.241842,16.695768,18.454777,13.9139805,17.564585,19.065886,38.33215,30.214716,23.569498,51.131565,29.582157,41.6854,27.205616,15.57477,23.100554,93.34259,14.543983,32.46003,33.22694,33.80623,23.467041,18.661936,21.60449,41.018074,67.50644,40.50797,8.882871,37.60018,23.768934,30.826612,588.62506
