Gene,AHR,ARID1A,ARRDC3,ATL1,BAK1,BCL2L11,BCORL1,BPGM,C3orf72,C19orf26,CBFA2T3,CBL,CDKN1A,CDKN1B,CDKN1C,CEBPA,CEBPB,CEBPE,CELF2,CITED1,CKS1B,CLDN6,CNN1,CNNM4,COL1A1,COL2A1,CSRNP1,DLX2,DUSP9,EGR1,ELMSAN1,ETS2,FEV,FOSB,FOXA1,FOXA3,FOXF1,FOXL2,FOXO4,GLB1L2,HES7,HK2,HNF4A,HOXA13,HOXB9,HOXC13,IER5L,IGDCC3,IKZF3,IRF1,ISL2,JUN,KIAA1804,KIF2C,KIF18B,KLF1,KMT2A,LHX1,LYL1,MAML2,MAP2K3,MAP2K6,MAP4K3,MAP4K5,MAP7D1,MAPK1,MEIS1,MIDN,NCL,NIT1,OSR2,PLK4,POU3F2,PRDM1,PRTG,PTPN1,PTPN9,PTPN12,PTPN13,RHOXF2,RREB1,RUNX1T1,S1PR2,SAMD1,SET,SGK1,SLC4A1,SLC6A9,SLC38A2,SNAI1,SPI1,STIL,TBX2,TBX3,TGFBR2,TMSB4X,TP73,TSC22D1,UBASH3A,UBASH3B,ZBTB1,ZBTB10,ZBTB25,ZC3HAV1,ZNF318,control
CPEB4,167.17966,69.38679,104.55162,127.31195,331.9312,129.45682,118.694824,109.25477,71.50683,230.35872,156.24208,170.0176,95.987946,157.5562,53.595093,133.41315,117.8976,298.81622,106.56971,54.23121,51.599003,225.97876,188.1932,107.73183,84.08475,122.51747,107.806595,164.40486,278.513,80.563,188.59192,262.23254,183.43768,139.30573,242.28146,126.04889,217.26273,167.25917,68.41873,115.668526,30.50666,68.94188,61.469078,117.4929,193.60889,158.63278,100.93808,216.47475,220.27322,84.887665,129.99487,75.27327,73.84045,145.3188,66.78548,462.1762,49.640503,98.407074,88.18517,137.94052,104.89682,194.2399,92.38122,86.74114,192.42223,164.84157,199.77368,73.34932,50.495903,59.87276,251.21509,30.422203,100.17491,67.05872,230.14961,107.876526,93.518295,98.788345,72.95116,145.52307,75.85129,182.18036,208.2313,126.28697,263.75632,140.7953,222.94757,137.13332,67.05463,132.77763,171.87682,74.96468,190.68207,167.65744,143.5747,126.19147,63.9002,100.492676,192.5192,289.30948,178.63754,58.28313,164.34718,112.48877,139.71841,2662.975
HNRNPH1,1633.9718,675.39307,1195.1869,968.2654,3712.2434,1446.6718,1279.3854,1349.3148,774.2833,2224.8643,1812.491,1748.5265,890.66315,1345.6244,502.01746,1643.9491,1359.6925,3626.7642,1176.991,567.6456,648.57404,1873.0767,2197.6487,1191.5465,834.8552,1480.6863,1113.4064,1800.3628,1949.3138,858.1692,2191.124,3271.3855,2063.0059,1628.1213,2334.0266,1247.3536,2159.754,1912.997,579.93286,1196.6018,425.12436,840.05115,608.3626,834.62756,2055.9707,1170.6512,1132.6606,1678.3033,2072.0593,1263.8684,1354.7202,735.7316,716.8715,1570.9441,686.46155,5111.9805,589.79346,1030.4762,1092.4219,1509.4735,1386.1027,2133.2046,914.2034,1010.5958,2070.735,2132.9834,2146.1638,859.0927,597.42896,458.21613,2778.0308,347.15295,1012.71576,849.7543,1689.4637,1159.3713,1098.2133,1075.7473,751.9125,989.0753,933.13837,1972.098,1455.7346,1336.9932,2455.9397,1267.308,2615.8516,1543.6228,890.9705,1212.1368,1835.3049,832.4983,1713.0605,1836.3577,1542.5143,1400.5233,711.0887,1064.6846,2148.908,3200.371,1795.668,496.70953,1845.3817,1266.7428,1540.8861,30432.941
SQSTM1,304.11728,124.88984,209.1991,205.69432,707.9531,271.40903,267.33743,255.53015,167.30661,465.7927,320.9469,328.01373,172.98938,254.58664,106.459076,356.16028,269.25317,714.3968,250.5433,102.10252,111.087906,413.87167,386.5919,233.56544,162.34663,290.58047,218.86066,354.21005,394.05853,171.55772,425.40326,628.3623,421.1025,296.01877,466.37155,249.96599,406.58878,382.2508,112.24392,230.74724,67.81864,161.58633,114.28818,171.40767,409.97015,233.62115,221.95926,309.66504,388.05554,215.80405,267.83325,140.13812,140.9003,303.12967,135.0684,923.4921,117.69617,177.07286,203.5727,289.10803,256.44327,424.04736,169.83725,180.7931,370.32727,409.75665,415.5539,148.72766,100.71424,107.310776,536.6748,65.63375,210.61203,168.26276,339.0023,209.7001,207.33427,200.21735,156.08447,180.59984,164.97684,391.4527,282.11798,257.16687,514.38275,241.81392,496.1762,270.77878,155.3872,234.0441,354.66473,176.30243,317.59018,349.261,298.0518,244.66574,132.07234,200.213,402.199,615.35925,345.6173,113.436,333.60925,226.8622,303.08554,5780.359
BTNL9,5.125855,2.497261,4.2884855,2.431826,11.017399,4.172128,3.4792736,2.762807,2.0425324,4.8387494,5.9844694,4.532386,2.9140947,4.4585304,3.2758512,4.6558,4.006506,10.416196,3.1918454,1.389843,1.0515764,6.3118076,8.772161,1.5159038,1.3605033,5.287613,4.73749,4.1077223,6.7689943,2.6349297,7.462016,12.406104,6.7122164,5.717264,8.539178,5.8707952,8.676578,5.3777933,1.4095762,4.0133333,0.3484217,3.924478,2.925537,1.8186494,3.5162003,2.7651618,3.627821,3.9526894,4.7810283,3.1959674,3.924804,1.362569,2.1651573,5.817221,2.0869052,28.72211,1.8778359,1.4462273,3.58704,6.603938,3.691609,5.898223,2.6257467,2.5145752,6.5707197,5.964732,6.905368,3.450759,3.0107968,2.2985296,9.030806,1.3348014,2.3550103,0.9857774,6.018007,3.6943579,3.6799016,4.4296227,2.486642,3.1852226,3.3469965,5.0453005,5.0530286,2.7754102,9.408201,4.511078,9.309295,6.394102,2.778392,2.9402642,4.037364,2.2854073,3.437346,3.443161,3.3774767,3.530736,1.8396316,4.312268,4.6280155,10.892431,7.1675105,0.46088463,4.533447,2.6255417,6.9276333,100.02327
SERPINB1,199.59123,79.74135,142.78311,116.40726,433.46613,172.9766,158.74335,132.94934,95.797615,270.29352,211.60172,209.92557,105.64535,164.12361,61.012978,460.92667,185.42245,570.1394,142.46806,103.425735,74.41018,222.72562,250.14603,138.31615,107.96992,259.96118,127.03279,243.12866,229.87991,97.95908,271.23157,382.42343,228.58914,193.74542,292.73663,160.81294,261.92087,224.19496,68.47368,139.63116,47.807823,91.97168,92.497795,97.840385,238.52199,130.75314,125.926254,191.98853,247.82388,127.67233,169.97623,90.833374,69.985435,192.9573,80.09935,600.6691,70.59408,118.605194,133.82196,170.45508,157.71611,241.26428,112.858986,109.709854,232.13715,255.08066,240.18802,103.177444,70.18504,62.28724,328.5742,39.658463,119.917244,92.15633,209.44644,136.9828,127.714455,122.8404,86.92909,103.14758,111.44129,231.65556,153.29202,164.89096,472.0378,143.70042,297.26544,169.89307,95.8401,150.14722,220.75577,99.660225,198.97765,204.85832,177.62059,146.08626,98.39769,123.24742,247.18964,373.30338,216.12381,65.84716,215.47034,143.61583,179.44595,3513.5085
SERPINB9,120.41006,44.493687,77.79943,57.568466,287.91193,89.1133,90.889496,74.07896,52.545776,173.13739,136.4011,129.04942,64.84556,106.8164,37.175144,85.11192,95.92873,245.381,88.225334,50.82458,93.399254,132.62883,114.01541,100.88291,47.82183,386.00952,82.62165,149.65973,129.85144,58.85703,167.5394,200.89302,134.33931,106.08736,227.04958,112.46782,157.4052,151.61272,37.353867,80.24,18.104927,57.086613,39.713844,60.835903,142.59723,88.41957,98.05355,127.18103,114.13038,71.23849,109.29429,46.291035,49.665096,114.43715,30.65701,366.35635,37.780495,83.56787,77.63284,96.559906,96.17982,157.6706,81.06503,54.776886,139.67213,119.60615,162.71089,64.29982,36.24096,43.76781,195.96873,25.211287,72.983665,51.034134,115.72537,78.253365,91.61899,92.359116,54.302994,73.70059,74.84116,140.40417,85.16912,99.00541,943.9606,75.278694,193.79514,105.156364,59.191814,81.20391,102.89762,58.892323,144.16992,144.0979,114.2846,95.05558,44.484715,68.653694,150.13185,233.1713,114.71479,46.523342,112.22324,79.987206,94.80593,2106.9539
TUBB2A,40.819695,9.063088,22.009787,22.154396,81.620316,31.408865,27.111048,25.969688,16.560116,58.296448,37.38717,31.58143,16.898144,34.75358,14.605309,26.292875,27.222153,70.948,27.923407,8.76174,13.381701,42.516426,43.816395,20.942524,18.190105,38.727676,22.877708,38.004288,58.84463,18.60278,48.529625,62.483925,42.273926,39.114944,48.185955,33.31825,45.241665,32.925232,10.602945,28.600912,7.666969,16.601227,15.934408,13.403189,42.13541,28.961483,24.180864,39.20808,58.0676,28.060108,32.462254,12.755933,11.439255,32.153954,14.004627,131.9802,10.456036,21.621656,21.002462,36.275597,33.3889,52.63138,19.4322,18.871294,45.665455,40.795227,41.198967,20.803286,9.193083,14.238287,77.890625,12.208089,18.527384,21.790792,42.49469,22.735762,19.00699,19.467175,19.440989,21.591824,18.195929,45.154236,34.656418,28.700022,51.995865,23.578806,62.342216,33.238018,18.371168,28.488604,35.616043,21.409609,32.224102,33.01433,33.154556,27.952566,17.361895,21.054134,47.032955,59.38535,36.895523,11.101693,30.245157,24.669626,35.934444,664.61786
TUBB2B,154.21815,24.280556,75.43816,69.3135,214.02773,85.67378,70.068565,74.1872,37.2746,180.3116,125.24256,107.31089,46.36835,79.55121,34.46008,73.9438,71.61865,220.46854,70.69215,28.647955,34.441704,107.79762,116.3751,66.340935,68.53195,119.241585,60.41034,96.822235,209.80273,39.968197,132.33961,154.84067,114.01989,95.00074,136.69344,68.388916,120.28274,80.58652,30.559093,70.44778,25.351406,49.27836,41.96918,45.628746,111.63522,51.865517,72.06493,96.091774,113.62783,88.49353,95.16054,54.158722,56.30818,92.30752,40.211445,436.18338,27.719791,61.31996,75.6986,92.02507,78.13581,124.47265,59.19282,68.61555,138.91628,100.72039,146.59424,36.52451,31.088245,31.831015,229.47517,21.999865,52.322487,38.055477,90.05185,54.204926,57.876747,57.681206,41.43221,58.801346,57.859024,139.70212,78.36652,71.20379,156.11983,85.85003,167.14868,99.63825,52.211964,70.53828,94.57072,56.191437,82.285835,94.638405,90.504135,77.44702,28.02393,57.662247,113.299484,168.27719,103.416275,22.656826,99.59337,67.95911,121.62357,1917.0687
PHACTR1,128.85187,57.11349,117.72698,78.95546,351.52917,133.9119,118.26007,105.387535,59.762444,206.67401,165.28627,160.43867,90.10861,130.11472,48.3258,149.36761,112.48384,355.59805,130.9183,45.889854,54.166447,157.5532,178.63014,114.74074,75.06395,143.47081,108.774704,172.79791,181.81438,86.363846,223.27106,326.25146,190.35036,167.11899,214.9327,120.21678,197.19408,185.17581,43.418514,110.93511,33.285007,82.09799,61.806133,67.03298,192.95267,95.12616,114.28662,142.9164,160.31223,101.7462,143.73145,51.02596,65.068726,156.96013,55.772602,447.38693,52.035336,101.76183,92.68678,149.35901,138.4097,213.5567,90.35425,87.0131,180.82243,208.14934,187.9004,64.814354,56.11044,46.01562,246.35452,29.691917,95.15738,72.516716,151.64856,109.8705,97.80373,112.45007,58.327103,94.109924,78.43416,194.33838,119.58214,128.58685,241.37762,102.64375,222.88289,168.702,81.59495,118.58422,226.5392,87.33766,170.70741,164.75671,144.96121,127.1727,58.28517,96.99001,202.40726,318.68793,186.8226,41.680283,167.94101,112.83478,140.4492,2899.6316
MYLIP,146.36337,55.651077,117.0118,94.66777,350.45584,143.73691,125.12425,122.78333,72.3215,225.70793,159.99315,170.78902,84.84923,138.1585,50.787136,156.78476,131.34543,364.7957,116.53793,61.492157,81.62284,187.2395,206.98424,142.62317,81.34947,132.28893,104.33629,171.11568,206.49463,82.48651,223.64691,315.8694,191.1935,164.08327,231.5717,114.861786,214.32047,176.69284,54.91477,113.02965,39.661835,73.21243,58.521355,74.1529,189.45027,97.82246,106.72021,159.55247,200.44197,104.09564,138.27383,69.9508,67.663925,150.56786,71.56359,469.3271,50.844418,91.49395,102.03827,144.98764,124.35347,208.75766,85.58013,90.8034,184.83867,197.78714,196.89406,65.33263,60.90541,47.258465,265.65216,30.04187,93.05505,76.31123,175.0927,118.266464,109.32269,110.13866,67.28235,120.77201,82.67438,182.46715,147.9461,125.411385,254.35622,123.61219,226.38603,138.16553,74.40708,113.071945,176.41669,88.32548,155.64963,168.97214,151.07965,126.917076,64.809364,97.77115,193.40721,305.93436,166.98705,46.453743,174.06747,116.914734,150.87929,2963.652
