Gene,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
ENSG00000006071,-2.6060025e-06,-0.1988591,-4.6691566e-06,-5.3006083e-06,-0.0103295315,-2.5611962e-06,-2.422746e-06,1.008391,0.0017516188,-2.6125172e-06,-0.48335877,-2.8697661e-06,-5.2294376e-06,-0.6786555,-0.00063543965,-2.7513045e-06,-2.149974e-06,-4.0419986e-06,-2.1230917e-06,-3.6940282e-06,-3.463648e-06,-4.3440828e-06,0.37267283,-2.6654295e-06,-2.830388e-06,-1.9970612e-06,-0.01091506,-3.5872765e-06
ENSG00000006210,-3.2168347e-05,-0.2182083,-4.353568e-05,-4.5982888e-05,5.5034924,-3.6300793e-05,-4.5131354e-05,1.5907247,4.202986,-3.3565775e-05,-0.36657995,-3.0820836e-05,-3.37181e-05,-0.5149627,-0.075445645,-3.9469473e-05,-4.0367042e-05,-3.605387e-05,-4.6237634e-05,-3.2293807e-05,-2.9407569e-05,-4.3667285e-05,-9.452535,-2.5094718e-05,-3.9479753e-05,-2.624337e-05,-0.66877496,-4.000372e-05
ENSG00000006327,-5.267526e-05,66.70918,-0.00010474545,-8.6725115e-05,-75.30157,-4.4176937e-05,-5.2152624e-05,-1.0259032,-4.7762256,-5.977523e-05,-1.1181679,-5.8673315e-05,-8.766781e-05,-1.9109794,0.08457949,-5.7442106e-05,-5.235032e-05,-6.400856e-05,-5.5744695e-05,-6.573122e-05,-5.935033e-05,-7.576037e-05,18.634134,-5.2403673e-05,-6.132601e-05,-4.559867e-05,-1.2938417,-7.198082e-05
ENSG00000007038,-1.1413688e-06,-0.69748795,-1.8671788e-06,-1.9941035e-06,0.5484385,-1.3482961e-06,-1.4235648e-06,-0.2076624,-0.23532443,-1.4145278e-06,-0.2261247,-1.8971457e-06,-7.538553e-07,0.825274,0.07899113,-1.2656842e-06,-1.6230576e-06,-1.260538e-06,-1.1524943e-06,-1.2500443e-06,-1.1739197e-06,-1.2901422e-06,-0.07104044,-1.2556804e-06,-1.8569009e-06,-1.5084113e-06,-0.015036412,-1.2958399e-06
ENSG00000007062,-5.7510908e-05,-1.4811192,-9.0982685e-05,-9.511693e-05,-7.156916,-4.9146605e-05,-4.8735663e-05,-0.078358784,-7.086656,-5.244918e-05,-0.15792657,-6.354516e-05,-0.00010957881,-0.58138114,-0.17711093,-5.811942e-05,-5.0315226e-05,-6.288242e-05,-5.840944e-05,-7.235217e-05,-6.406563e-05,-8.329986e-05,15.729388,-4.9605173e-05,-6.3058644e-05,-4.552446e-05,0.99133193,-7.5820586e-05
ENSG00000007171,-6.528813e-05,0.79693794,-9.876939e-05,-0.00010357685,6.3171477,-6.190561e-05,-7.133479e-05,-0.02786019,0.07600742,-5.9139213e-05,-0.006971354,-6.1182276e-05,-9.556431e-05,-0.014154601,-0.011120321,-6.4317675e-05,-6.117634e-05,-5.3234548e-05,-8.1742146e-05,-7.823688e-05,-6.271865e-05,-9.8655335e-05,-8.181836,-4.6876692e-05,-7.075155e-05,-4.9800175e-05,1.0531821,-4.7792008e-05
ENSG00000007174,1.1306249e-06,-0.03842435,2.28458e-06,1.9130125e-06,0.23719528,1.0429889e-06,5.046667e-07,-0.006678628,-0.44192508,9.055063e-07,0.039623007,8.6319744e-07,1.7740832e-06,0.14284432,-0.020308118,6.819316e-07,9.603496e-07,8.2220106e-07,6.17209e-07,8.73249e-07,1.143467e-06,1.7210905e-06,0.25330338,1.2611837e-06,1.2114601e-06,5.515063e-07,-0.16565059,9.289533e-07
ENSG00000007264,1.3834582e-06,0.53628814,1.4978825e-06,5.3500153e-06,-0.10855601,8.818012e-07,1.2525004e-06,-0.20942837,-0.06358486,2.403028e-06,-0.4820979,3.082834e-06,1.6196785e-06,2.3019319,0.049470548,2.3669543e-06,2.1669728e-06,1.3550793e-06,1.7952847e-06,2.7566527e-06,1.99634e-06,1.0638616e-06,-0.54655135,4.5031743e-07,2.1688604e-06,1.658646e-06,-1.4775062,6.5563404e-07
ENSG00000007312,-6.1484334e-06,-0.32681644,-1.0411016e-05,-2.1771591e-05,-1.2327025,-8.073365e-06,-1.1082958e-05,0.64459646,-0.07967574,-1.0890633e-05,-2.462892,-8.174029e-06,-7.241711e-06,-2.3252084,-0.040769793,-1.368771e-05,-6.426046e-06,-6.2043923e-06,-7.2759017e-06,-1.561567e-05,-7.0231813e-06,-1.1181753e-05,-0.049428724,-6.243826e-06,-5.161982e-06,-1.0033914e-05,5.8730803,-8.841165e-06
ENSG00000007350,-1.8447126e-06,0.021511743,-2.671954e-06,-2.036148e-06,-0.23163244,-1.5105162e-06,-1.3979949e-06,0.008532035,0.0014157156,-1.4943954e-06,-0.100810096,-1.3008686e-06,-3.1039447e-06,0.067847125,-0.069008194,-1.5900763e-06,-1.2363096e-06,-1.5104292e-06,-1.5388296e-06,-1.6353937e-06,-1.6626673e-06,-2.1512633e-06,0.011124826,-1.2490118e-06,-1.3133442e-06,-1.1334315e-06,0.29105163,-2.1364867e-06
