gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
PLAC9,1.0703253e-05,2.674692,1.354031e-05,1.6997186e-05,3.8974402,1.0755298e-05,1.015818e-05,4.5623484,0.21144274,1.0296553e-05,6.3748,1.3151549e-05,1.4389601e-05,4.092072,0.14366943,1.05226445e-05,1.1670571e-05,1.2405203e-05,1.0262133e-05,1.2032415e-05,1.1405746e-05,1.3865226e-05,1.1847697,1.1954562e-05,1.1762958e-05,1.1873615e-05,1.310347,1.1993609e-05
CLDN4,0.00062914955,86.98216,0.0009736319,0.001016876,179.15291,0.0006743076,0.00065737445,1.4737523,21.096575,0.0006520169,3.3562362,0.0006652067,0.0009270647,6.4568934,1.3722327,0.00061796,0.000675023,0.0006261468,0.00070583326,0.00070892443,0.0006682509,0.0009432171,150.3863,0.00056662963,0.0006830099,0.0005505536,3.8702834,0.00061924657
S100A14,0.00026637522,44.62313,0.00037988613,0.0004130195,163.58267,0.00025966272,0.00026883738,1.6412162,31.96885,0.00026808845,2.1569438,0.00029078164,0.00038923626,4.677521,1.3804646,0.00026921797,0.00028797705,0.00027657286,0.00026333233,0.00029865294,0.0002855779,0.00034282,188.14972,0.00023420849,0.0002887854,0.00023906176,2.7596478,0.00027704245
FAM179A,2.7324626e-05,0.69318634,3.3226548e-05,4.255721e-05,1.3163038,3.1738557e-05,2.7213617e-05,0.060928423,7.1323886,2.256708e-05,0.13279605,2.3795483e-05,2.2926937e-05,0.39496455,0.1768094,1.9428146e-05,3.405547e-05,3.0997406e-05,1.771583e-05,1.7963792e-05,2.5131152e-05,2.634423e-05,6.787062,1.7788569e-05,2.8231318e-05,2.2546255e-05,0.45547563,2.0626383e-05
CXCL17,0.00017551974,35.28432,0.0002387975,0.00024248635,90.23055,0.00017197314,0.00017659561,1.51228,22.18167,0.00017371884,1.4732518,0.00018571918,0.00023633789,6.872114,1.0854365,0.00017257617,0.00020029653,0.00018074935,0.00017735183,0.0001927957,0.00018439814,0.00022994952,120.81498,0.00016541226,0.00018781623,0.00016334922,2.760563,0.00017841937
MMP23B,1.4926618e-05,8.055147,2.2814094e-05,2.694531e-05,8.137929,1.48739655e-05,1.5667996e-05,0.2915237,0.18661697,1.6564587e-05,0.9307767,2.0327965e-05,2.1500346e-05,0.8932636,0.13441372,1.627808e-05,1.7122298e-05,1.8033561e-05,1.6415821e-05,1.8940731e-05,1.757775e-05,2.0295407e-05,0.7056084,1.4341334e-05,1.662195e-05,1.4740936e-05,0.7380333,1.581264e-05
NCR1,5.6546406e-07,0.21647564,5.78255e-07,1.3938468e-06,0.29810503,4.633297e-07,6.1405075e-07,0.02660375,0.0056174025,6.661907e-07,0.04430629,6.469753e-07,5.8343653e-07,0.41059962,0.12901023,6.5927685e-07,6.2867593e-07,7.788503e-07,6.831678e-07,7.4512343e-07,6.353496e-07,6.267905e-07,0.03760434,5.581695e-07,6.8813625e-07,6.5065007e-07,0.67869395,5.5838e-07
HLA-DRB1,0.00037623974,52.46966,0.0005448549,0.00074136077,126.06147,0.0003828826,0.00041556536,18.66911,21.18666,0.00042712723,9.765708,0.0005194699,0.00049989705,57.979515,11.297252,0.0004525764,0.00048759033,0.0005111185,0.00039150522,0.0004943034,0.0004387357,0.00043331544,117.276825,0.00038535488,0.0004746356,0.0004107687,27.825201,0.0004258711
AKR1C3,9.112366e-05,13.118269,0.00013521584,0.00014552292,89.60385,8.894166e-05,0.00010046421,4.68806,6.317912,9.593417e-05,1.2135789,9.8190365e-05,0.00012020179,8.851605,1.8607302,9.43571e-05,0.000102257945,9.298392e-05,9.98222e-05,0.00011033978,9.528776e-05,0.0001270276,83.10919,7.698416e-05,0.00010734197,8.220207e-05,3.6978815,8.344877e-05
S100A4,0.0013093918,184.07304,0.001902606,0.002297652,471.0531,0.0015756025,0.0015576372,39.72117,52.190655,0.0014038405,16.963507,0.0016032113,0.0016843199,122.04042,19.562248,0.0014119948,0.0016279719,0.0015338196,0.0014035845,0.0014426532,0.0013592336,0.0017440311,310.08246,0.0012285648,0.0014494004,0.0012146698,55.001297,0.0013108078
CTSE,8.819961e-06,21.801695,8.943555e-06,1.1176534e-05,17.435156,7.274684e-06,7.638821e-06,0.59962016,3.8455162,7.825004e-06,0.8820257,9.955547e-06,1.2110479e-05,0.744646,0.07245056,7.345148e-06,8.994213e-06,6.734153e-06,8.084695e-06,8.383955e-06,8.963663e-06,8.912985e-06,9.301837,6.429648e-06,7.941523e-06,7.889135e-06,0.32304758,7.25624e-06
HRCT1,4.034835e-06,6.3294744,6.806812e-06,1.0670533e-05,7.280753,6.6971857e-06,5.8719575e-06,1.4798565,0.4092272,5.9262065e-06,0.39002004,6.130519e-06,5.999696e-06,1.3029063,0.028876416,5.415521e-06,6.860329e-06,5.9029403e-06,5.8115706e-06,6.637095e-06,5.510244e-06,7.9496285e-06,1.5520906,4.333614e-06,5.622203e-06,4.7990275e-06,0.09376794,3.8610706e-06
SFTA2,0.00018347151,242.4483,0.0002175494,0.00028954007,166.6079,0.0001687387,0.00018890074,9.912315,6.888059,0.00019108526,6.8394976,0.00024842162,0.00023615843,19.859291,1.2902962,0.00019516586,0.00021811496,0.00018362617,0.00019524744,0.00021186602,0.00021391077,0.00021339188,62.614296,0.00017638563,0.00021518128,0.00020351776,7.3260565,0.00019068355
GIMAP5,2.050552e-06,0.14593102,2.696491e-06,3.030419e-06,0.25007144,1.8228744e-06,1.9601857e-06,1.5255821,0.08693586,1.982525e-06,0.29963553,2.0838163e-06,2.8513766e-06,1.3869386,0.09139219,2.0945704e-06,1.9999582e-06,2.392381e-06,2.1086446e-06,2.2267004e-06,2.173256e-06,2.5996546e-06,0.10022373,1.7826337e-06,2.2231889e-06,1.7647999e-06,0.5799052,2.3771809e-06
MMP1,1.9039568e-05,0.32922527,2.5734571e-05,3.0858e-05,3.6394792,2.0546462e-05,1.8762727e-05,0.36777472,1.1373787,1.9647325e-05,0.30440927,1.7992541e-05,2.1958114e-05,0.7505621,0.07784447,1.5313137e-05,2.4911846e-05,2.116654e-05,1.4336941e-05,1.8404904e-05,2.1323616e-05,1.8987806e-05,4.212749,1.6135014e-05,1.6372189e-05,1.6224487e-05,0.20497702,1.3344883e-05
ADH1B,3.566412e-05,8.475314,4.8824484e-05,4.516983e-05,10.545149,3.231502e-05,3.2137705e-05,8.533962,0.6387672,3.0929925e-05,28.153893,3.9810282e-05,4.7979414e-05,5.265404,0.4313555,3.1091724e-05,4.0270454e-05,4.386568e-05,2.7884433e-05,4.2214186e-05,3.820106e-05,4.6868656e-05,2.8573096,4.8764337e-05,3.9689912e-05,3.907036e-05,3.174194,4.009704e-05
TCF4,0.00033705568,5.009678,0.0005716108,0.0005485464,25.950657,0.00033226324,0.00033909624,10.399604,6.384385,0.00035314326,4.4312,0.00036139885,0.00053447054,9.851057,0.94385314,0.00034250968,0.00033964263,0.00036608815,0.0003800564,0.0003950911,0.00036598076,0.0004981306,27.024902,0.00031135042,0.00037655447,0.00029283963,5.9629126,0.0003783469
HSH2D,4.8395694e-05,3.500126,7.929558e-05,0.00010002389,9.499979,4.6914673e-05,5.2402273e-05,0.24800436,1.4965137,5.5001783e-05,1.530499,6.467858e-05,6.905108e-05,2.2258444,0.48623917,5.7953665e-05,5.7149562e-05,6.4693704e-05,5.3228454e-05,6.81749e-05,5.4808937e-05,6.403158e-05,7.6277385,5.1331157e-05,6.397204e-05,5.2003852e-05,4.558722,5.6864745e-05
HLA-DQA1,0.00011574697,12.862953,0.0001604596,0.00023947048,15.875957,0.00011634955,0.00013489452,7.427045,4.706765,0.00013793155,3.431756,0.0001773805,0.00012917718,35.32913,3.688811,0.00015123808,0.00016773365,0.00018791872,0.00011939379,0.00015594755,0.00014060237,0.00011465371,14.408133,0.00012179738,0.00015127104,0.0001390043,16.063286,0.00013348168
S100A2,0.0007805549,49.15013,0.001033525,0.0012749868,344.15005,0.00083430886,0.0008200253,2.3997195,35.982525,0.0008307404,7.3304143,0.00088193105,0.0009437449,11.225175,2.3134367,0.00079183246,0.0009267348,0.000795425,0.0007642634,0.00086179585,0.0008379378,0.0009409828,292.41913,0.00068432884,0.00083762856,0.0007531509,12.901786,0.00072206656
ADA,6.3325206e-05,0.5182,0.00010601756,0.00013187165,1.7516743,6.0453604e-05,6.759893e-05,0.5363598,0.23649132,7.0824826e-05,1.7180619,8.413486e-05,9.158418e-05,1.6737509,0.45946229,7.910208e-05,7.204357e-05,8.059095e-05,6.940343e-05,9.303009e-05,7.125224e-05,8.602357e-05,1.1617376,6.8936606e-05,8.554955e-05,7.044962e-05,3.2352977,7.317531e-05
