,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
COL5A1,-1.9596504e-14,0.0,0.0,5.2712743e-12,4.0030025e-07,,,0.0,0.0,-1.6261095e-13,-1.3444253e-06,,-1.2751805e-11,0.0,-8.020136e-08,,-1.1638092e-13,8.7724055e-13,,1.1136823e-15,,0.0,1.08372235e-10,9.279771e-14,,-8.546392e-10,0.0,1.5056838e-15
CALY,0.0,0.0,0.0,-1.1710266e-16,0.0,,,0.0,0.0,-2.1624258e-13,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,-8.19415e-08,0.0,-1.5598686e-15,,0.0,0.0,0.0
GMFG,7.3348255e-10,-0.0001344768,-5.35174e-11,9.530654e-09,0.00010815454,,,-8.8073875e-06,4.2352306e-07,-4.439399e-09,-6.457883e-05,,-5.538905e-11,1.579788e-06,-0.00019434396,,1.6748262e-13,7.537683e-11,,-6.985993e-13,,2.247317e-09,-7.940463e-05,-6.508985e-13,,1.6024652e-11,9.418551e-06,-3.782481e-11
MPP1,-3.7623e-12,5.0484027e-06,-3.5780994e-12,2.3227922e-09,4.087085e-05,,,0.0,-1.8339893e-10,4.9889987e-10,2.997262e-08,,1.3609018e-11,-3.389385e-06,-0.00017986727,,5.5414777e-13,2.830965e-12,,3.6144038e-14,,1.3358722e-08,-6.49636e-06,-4.656876e-14,,1.4564775e-12,-7.898033e-06,-3.2908112e-12
ZNF331,-1.8905641e-10,7.1666946e-05,5.431268e-11,-2.2208943e-10,7.344752e-05,,,-3.2952428e-06,-1.0669231e-07,2.0387019e-09,-3.391879e-05,,1.2824242e-10,-3.1881862e-07,0.00026447076,,-6.3520534e-12,9.594893e-13,,-2.7754762e-13,,-8.08479e-09,-6.937686e-05,-7.8380726e-11,,-9.83444e-10,1.8197892e-06,1.3799604e-11
RGN,-3.0244093e-12,-4.5895575e-08,0.0,-3.5294684e-10,1.1795163e-06,,,0.0,3.6679781e-10,2.9820923e-14,0.0,,6.558342e-14,-1.3245477e-10,0.0,,3.640611e-13,1.0039536e-13,,0.0,,4.2341702e-10,-1.1443984e-05,-2.4892932e-13,,4.025457e-11,-1.0728836e-09,6.069769e-16
AKAP12,-8.3028764e-11,-5.6368112e-06,1.5516434e-11,-1.0152197e-10,-9.2005925e-05,,,0.0,-2.8060033e-08,-1.013555e-13,0.00017142591,,-1.8261829e-09,-1.0227829e-05,9.404288e-08,,-9.159356e-12,3.7364005e-12,,-1.020814e-15,,-8.162108e-09,0.00041568215,-2.0716552e-11,,9.838342e-10,-3.9608616e-12,5.860818e-14
SYNE1,-6.2505007e-10,0.0017419067,-9.8482325e-12,-6.362451e-10,-0.000248328,,,0.0,8.400848e-05,-3.2273048e-10,-1.3623919e-09,,-2.815839e-10,-1.248055e-06,-1.1556491e-05,,5.710165e-12,-8.143916e-11,,9.756812e-12,,1.0261087e-07,-0.0012364035,7.000993e-11,,-1.426922e-09,-8.9025497e-07,-7.84401e-12
LILRB2,1.954743e-10,-0.00019668428,-6.2647097e-12,-3.7030146e-10,7.3967503e-06,,,0.0,2.0476476e-16,5.167819e-10,-0.000106198895,,-3.5436367e-16,3.6027696e-08,-0.00019604858,,2.229161e-13,5.3193696e-11,,-1.942364e-15,,-3.579364e-11,0.0,2.3624902e-11,,3.6573525e-13,-7.248521e-07,-4.970795e-12
BPIFA2,1.7832083e-14,7.623619e-10,-6.1330283e-16,0.0,-0.0008891706,,,0.0,-9.722829e-05,0.0,0.0,,1.3126786e-10,0.0,0.0,,0.0,4.430227e-14,,0.0,,-3.3576976e-07,0.0012296517,0.0,,-2.6196967e-13,0.0,0.0
COX4I2,1.7819829e-11,0.0,-6.1853734e-16,1.5181056e-14,-2.4199485e-08,,,0.0,0.0,-1.3135107e-13,0.00028077041,,1.315432e-15,-1.3245477e-10,-1.3245477e-10,,0.0,0.0,,0.0,,0.0,0.0,-4.2164636e-13,,0.0,0.0,-5.5648574e-13
HIGD1B,3.9933185e-11,0.0,1.3388211e-14,-2.0650061e-10,-2.2053719e-08,,,0.0,0.0,-2.3933616e-11,8.043817e-06,,6.392258e-16,0.0,-3.7021106e-08,,0.0,-9.231812e-13,,-1.8172719e-16,,-3.5140866e-09,7.677674e-05,-1.5497623e-12,,0.0,-1.6689301e-09,-6.074425e-13
