gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
SLC2A3,1.8538453e-10,1.4892279e-06,1.0427127e-10,3.7505337e-09,0.00011219581,8.157271e-11,1.6732851e-11,5.426521e-08,4.1579005e-06,2.3502142e-09,2.344928e-05,3.3685266e-10,8.509496e-11,3.116462e-06,0.0003024557,2.3274844e-09,1.3662091e-10,1.8875738e-10,1.2075573e-14,1.495896e-12,7.856921e-10,5.17362e-09,7.933088e-05,3.7991346e-11,5.439507e-11,1.5087444e-10,7.904854e-05,1.3105525e-11
CASP8,1.6956053e-11,5.449461e-07,1.519628e-11,6.9409873e-09,9.2547154e-05,4.4405986e-13,2.9640567e-13,5.7091604e-10,5.0640527e-05,7.857787e-10,4.015622e-07,4.4494776e-11,3.390832e-11,3.6843503e-06,6.306523e-05,5.7627982e-11,1.3244125e-12,4.993645e-09,0.0,5.2183985e-14,1.2441394e-11,7.971264e-08,9.35535e-05,5.3288055e-11,2.0124985e-12,3.1228165e-12,4.4482676e-05,2.6143926e-12
SPA17,2.5810574e-11,6.726224e-07,3.996461e-12,1.996738e-12,7.287188e-05,2.651758e-12,5.880265e-13,0.0,0.0001268264,6.739772e-11,2.0510889e-08,5.5877103e-10,1.274879e-10,0.0,3.62442e-05,2.8867975e-09,3.447758e-12,4.228407e-12,2.5100148e-14,4.082115e-15,1.0789167e-11,3.3314845e-07,0.00028543914,4.743784e-12,2.845652e-10,9.596766e-11,0.0,2.891654e-12
WISP2,4.653414e-12,5.613952e-07,0.0,8.882815e-13,1.9139538e-08,6.676637e-13,0.0,2.747583e-09,5.121558e-07,2.117304e-13,4.9919886e-06,0.0,8.730796e-11,6.6227385e-10,3.2420888e-07,0.0,2.0109708e-12,1.5390397e-14,0.0,6.67676e-12,5.1552474e-13,8.692201e-11,1.2965186e-06,1.2339753e-09,1.942043e-14,1.3204388e-14,0.0,2.312586e-14
CHI3L2,1.2974748e-10,3.6936976e-06,1.4107074e-11,1.253534e-09,0.00012053627,6.6100773e-16,1.8583367e-15,2.0955434e-07,3.7442507e-05,8.948847e-12,6.5593824e-08,8.604796e-14,1.766413e-10,9.934108e-10,2.7003996e-05,2.4343905e-09,1.00942525e-10,3.258297e-11,0.0,4.7457884e-14,7.563999e-11,4.6329138e-08,3.1812049e-06,1.715573e-11,5.712388e-13,2.1697541e-10,1.2384355e-06,2.286069e-11
CALCRL,7.9134155e-10,5.5938624e-05,4.882333e-10,2.7336e-10,5.5859615e-05,1.1541534e-10,1.3124626e-10,0.00025283475,1.5821703e-06,1.3680055e-09,7.632711e-07,0.0,1.1341899e-09,1.2616523e-05,8.435051e-05,9.325135e-13,5.4631824e-12,1.4474568e-11,0.0,3.1232347e-16,2.2752305e-11,2.8399796e-08,6.793666e-05,1.7168201e-11,3.0094267e-08,2.4839207e-11,1.7774106e-07,2.3662233e-10
SLC9A3R2,2.8524183e-10,2.0197127e-05,2.1556502e-10,2.7471954e-09,0.0011006283,9.061434e-11,4.2682715e-11,4.9297803e-05,0.00013189415,1.4175988e-10,4.1420717e-06,6.5409816e-10,7.887586e-10,3.1785378e-06,3.469964e-05,5.8544303e-09,2.4801872e-10,1.7446659e-12,0.0,3.44127e-15,3.515817e-10,1.7431361e-07,0.0009620593,3.147776e-12,2.8578018e-08,8.434299e-12,4.764947e-05,3.359638e-11
ANKRD44,5.6653352e-11,2.6236776e-07,2.4721641e-11,7.499577e-09,3.0959658e-05,1.5854883e-13,7.688115e-14,1.6360541e-06,2.822409e-06,2.50431e-09,7.9377145e-08,6.201419e-11,1.8484823e-11,6.11941e-08,9.297727e-05,6.7778345e-11,3.6060185e-13,2.9681507e-11,0.0,4.5699065e-12,5.5705413e-11,4.1582105e-08,4.3975e-05,1.1006519e-11,1.8609693e-12,1.2388025e-10,3.1932916e-05,4.695114e-12
MYLK,1.4470714e-11,2.915331e-07,3.746178e-11,3.4143638e-10,0.00011165451,3.068153e-12,2.8101507e-13,9.806697e-06,1.8675884e-06,5.02775e-10,9.180674e-08,2.9361677e-13,1.09472896e-10,0.0,1.701627e-07,1.1603809e-11,1.995728e-12,7.7330496e-14,0.0,1.7625389e-17,1.7993342e-10,1.9591079e-07,5.5890265e-05,3.7821876e-10,2.4212663e-13,7.601181e-11,0.0,2.466775e-12
COL17A1,1.4576934e-12,3.905324e-05,6.9741777e-12,4.5483706e-09,2.8528282e-06,8.895879e-18,0.0,0.0,6.9601797e-06,2.3249606e-10,1.8049583e-09,4.9513003e-09,6.0327884e-12,0.0,0.0,0.0,1.1263393e-12,2.3372597e-15,0.0,0.0,4.220175e-12,4.5079855e-08,0.00024676902,5.4894036e-12,1.741833e-12,2.2449083e-11,0.0,5.788456e-16
PRKCQ,7.109555e-12,3.7299527e-10,0.0,2.0119158e-10,2.0256599e-05,0.0,0.0,5.0541854e-05,1.2942996e-08,3.7295066e-11,5.5676686e-05,0.0,6.13821e-11,9.934108e-10,4.416862e-06,4.865199e-13,2.873088e-13,2.7405304e-14,0.0,1.4412939e-11,5.4435033e-12,4.2036934e-12,3.1759352e-08,3.1971837e-13,1.2537326e-14,1.853958e-10,5.981769e-05,0.0
TIE1,3.0137435e-13,7.4599056e-11,9.6902715e-11,2.4895639e-09,0.0,1.0402178e-11,7.127002e-11,8.6592705e-10,2.822915e-16,6.841646e-11,2.5424028e-05,0.0,2.116222e-10,1.539677e-05,8.583927e-07,0.0,1.1561685e-13,5.967235e-14,0.0,8.158447e-15,2.1648965e-09,9.2564e-13,3.6782818e-05,9.117663e-14,4.878843e-12,4.7485873e-14,0.0,1.7917784e-11
CD84,1.1689182e-13,5.281613e-07,1.44009075e-11,1.3619547e-10,1.1541518e-06,0.0,0.0,0.0,2.5682952e-05,6.6016814e-10,0.0,0.0,1.2564178e-11,1.4697312e-06,0.00015353187,1.6371818e-09,2.9112258e-11,1.0832082e-10,6.2610887e-14,4.3676686e-13,3.565834e-11,1.8636759e-09,1.6655526e-05,4.4805832e-15,6.854065e-17,1.2734589e-14,3.810744e-05,2.3505926e-12
SPI1,1.175573e-09,2.6540356e-05,4.432355e-10,2.2041702e-08,1.5232567e-05,3.9472883e-11,2.6367984e-11,0.00022375981,1.310154e-07,2.944028e-09,0.00010281691,0.0,2.2000173e-10,5.222364e-05,0.0010503624,1.8041971e-08,2.1897588e-10,4.478075e-10,4.9606478e-14,1.8341782e-12,2.0889375e-10,1.219676e-08,2.0887455e-05,2.422868e-10,4.1877924e-13,6.125284e-13,4.2533626e-05,4.4333565e-11
CLDN18,2.3715337e-08,0.0002929901,1.537509e-13,5.508068e-09,0.0004118313,1.6966368e-16,0.0,5.562412e-05,6.9790694e-05,1.3328008e-10,3.1423435e-05,2.4149187e-09,1.3413513e-09,9.4428324e-05,6.852103e-06,4.0119774e-09,2.3742317e-11,5.3108573e-11,0.0,2.955826e-13,1.1122827e-09,1.2655785e-10,0.0007372478,4.3855967e-11,0.0,5.285996e-15,0.0,2.401506e-11
PLPP1,1.5591277e-11,0.00010964989,2.9889483e-10,4.3265542e-09,0.00014871587,1.9127336e-10,3.2486902e-11,1.8808117e-09,2.096908e-05,2.0609738e-10,2.2183676e-05,4.4261628e-10,3.4073053e-10,1.9943052e-06,4.47774e-05,2.0320032e-09,1.1465249e-10,2.796771e-09,0.0,2.340675e-13,2.033243e-10,6.5694245e-08,0.00011086755,1.1345682e-11,1.1125567e-08,1.8997974e-12,4.5032575e-06,4.4114327e-11
SYT1,4.529093e-17,0.0,3.631829e-15,1.2365439e-10,2.5900874e-08,4.4562122e-14,2.3211559e-14,2.8864236e-10,0.0,1.642335e-11,0.0,0.0,1.0174998e-12,0.0,4.144694e-09,0.0,7.46665e-15,8.714036e-16,0.0,0.0,0.0,2.1953651e-06,1.0525033e-05,1.2619257e-12,0.0,5.2945568e-17,8.168638e-06,5.240164e-16
