,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
FGR,0.013818399758991677,0.01733557962037971,0.22176968622144483,0.05985776865363177,0.002213748305413722,0.06395258868076767,0.14857909252480378,0.21923287364979274,0.003368258943223749,0.4571170402513551,0.010493193620350975,0.0,0.09060162264323318,0.7033174140592111,0.07619085326038251,0.49747943399355066,0.028442811590881162,0.7238254523666972,0.8306128557612754,0.540573133223339,0.30403664439045824,0.0010347893797271431,0.002109196078517182,0.011309964648713845,0.0005688149896945192,0.0035686609424992826,0.05100439338833132,0.13249927620838217,0.19333450321468246
CFH,0.027534545637461338,0.04956620017375186,0.12641519030399692,0.017543014851219025,0.4355254276191826,0.1083756573155703,0.026789467595166237,0.007545963983295615,0.22707848753225768,0.0459759929172421,0.9435434710547088,0.15270867508971941,0.16434224773110157,0.020137846140522046,0.01066271655758001,0.34842737429249016,1.003292436785652,0.014064708081071924,0.0,0.016928788066546904,0.027193536903478352,0.09956208125023938,0.3577012859393874,0.24937996323726064,0.1677520482226743,0.3025203732288979,0.027386016687480235,0.08201357052954711,0.08485829422742691
HS3ST1,0.005205372256775574,0.003451117435443379,0.029155838277712134,0.02564656836383612,0.25397569527856145,0.07145838288700875,0.02162041822596287,0.05087111803989372,0.19242615349249517,0.057884218545137194,0.014525636119466188,0.02250349705824521,0.5391167022835968,0.029297130074952712,0.24905631372181009,0.22195180535717576,0.09642213877178511,0.030076408138283498,0.0,0.00724141988669608,0.01642278264692263,0.1937433199363572,0.41496058874194097,0.011702506615382222,0.2411509852808522,0.1749576733394239,0.007860207484615902,0.10484125238702646,0.018412306871775554
TMEM176A,0.005974439531655523,0.00879824770507364,0.024213300063391056,0.011795862464403386,0.0021512487681238364,0.022921207943947298,0.0072598291641248515,0.03637091241388769,0.04509063269450194,0.37072246710970214,0.35862014929837177,0.0,0.0356905091260972,0.12717894930412954,0.2847063196603857,0.24551705632400084,0.8513203553124495,0.19942547399580143,0.0,0.009761207489093272,0.0582026771048273,0.22228314110862918,0.0251371189972028,0.04664340187887035,0.006237606017341465,0.023059385524438633,0.005960209870786844,0.1598811478029106,0.045086107932408845
TFPI,0.1443974373787192,1.1965525676862776,2.096377648916978,0.02174300309931473,0.05830578222201241,0.7771883096178742,0.8271824080093365,1.2621763228933531,0.0754979156082059,0.05915095361208155,1.126723571569687,0.4849875518839436,2.287267672572565,0.08766768088886791,0.03865124975589117,0.08868893681045648,0.19142972777430506,0.07214741436757748,0.0,0.02029731559176034,0.2019182171633067,0.2900751807210439,0.08044902304813052,0.6164773625002701,0.03491256744209171,0.07976105025484026,0.012877604811243577,1.4200139741929032,0.5775823628302945
HSPB6,0.001982912572209301,0.0016742536147943625,0.005549197278880881,0.005518619886105941,0.0005392017025645012,0.005592006841366914,0.0,0.003212979214755324,0.0006953904565527902,0.0037371716840146996,0.30370062660586356,0.0,0.0058830759679960164,0.0018381490983885157,0.0036277411356705723,0.0,0.07573767657203641,0.002871135099921817,0.0,0.003204982912399755,0.0019237750787985666,0.0,0.0002453154543547426,0.4106772656451889,0.0,0.00039682616261336215,0.0014788777065901676,0.0028946673486373326,0.008813160059096074
PDK4,0.09879797887388263,0.07524153369544262,0.9032385051921896,0.022744951799857444,0.027964336634758717,0.4687643633648409,0.5304926884519239,0.8675898478696915,0.15046993813491824,0.3943368485129801,0.6094137270049268,0.10159944355433473,0.35340041300261393,0.5606031732525869,0.04000383847722761,0.5550643323629706,0.17085541735799883,0.23043247368091127,0.4784398436150317,0.018795931782205445,0.3383546549111044,0.039765308734610406,0.029531038965692313,0.9905199344388181,0.00900423674545991,0.051130083882683315,0.008208982139851021,0.5673920257673161,0.2129816849782332
ZMYND10,0.008560218252628581,0.014498334716061972,0.004807925972248985,0.01673703527073845,0.014947781933995498,0.004314538173349644,0.0,0.0047078731858168224,1.185895146904165,0.006277498562550385,0.006663504517147434,0.04052716674870362,0.005048634737287518,0.004847555061064345,0.011751637375734798,0.6048446335655789,0.013128105788977258,0.010121724724849249,0.0,0.008689959011494263,0.025997127284546936,0.08788425454115825,0.0507452800505473,0.005011901874609371,0.018072503500570804,0.01839706340393837,0.022606254667950017,0.011134827662206383,0.007329040937419455
WDR54,0.025654425292815187,0.038595509929936114,0.07512310180811582,0.08502978570765019,0.05322740872609106,0.09986173794151953,0.07142124932772939,0.10008190847204532,0.992400171872557,0.04741328127930592,0.07021248157561477,0.1933783932429959,0.11828318806280459,0.019889320275990892,0.05330451178863385,0.6863405886223956,0.10865194812787766,0.03106444208872544,0.0,0.1001903865600731,0.1157963321827555,0.14011683017339382,0.04772936052596143,0.07668466677937856,0.016469651457884295,0.03744952429825303,0.1113369798727878,0.0918151839325971,0.08513465608117508
ITGAL,0.00275384964472532,0.00485019447352003,0.015465036758323442,0.06603397462109026,0.0018479822671131957,0.0008656997375822494,0.008415248170671654,0.004703200395687139,0.013929293547066172,0.095608824087344,0.0038348702526476144,0.0,0.006841295463455103,0.14866648038976654,0.026601020414824792,0.11406821966129646,0.008459069135985643,0.16578388004574254,0.0,0.35646511079851567,0.12497121177376769,0.0015488593089328243,0.0015163728368298188,0.004172926733435488,0.000816217588635043,0.0016351949752112095,0.16844504780347822,0.014021480118037277,0.11350858220562954
