gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
CD3D,-3.3422089e-06,-11.223399,3.657026e-06,7.24312e-06,8.296347,-2.0378664e-06,-5.1503835e-06,2.8432887,0.07220704,-6.2255003e-07,2.5273392,9.55056e-06,-3.8974413e-06,35.341503,-1.047646,4.194661e-06,5.6413273e-06,5.583411e-06,-1.571368e-05,4.381766e-06,-3.759466e-06,-4.485358e-06,-3.047586,7.2924495e-06,2.4116355e-07,-1.133684e-06,-33.762085,1.9350841e-07
LPO,-3.7999143e-06,3.7515266,-1.7569339e-06,-2.935915e-06,-7.1745343,3.302093e-08,-4.2003962e-06,0.1337697,0.10873507,-1.5467199e-06,0.47786528,-2.2981392e-06,-2.2732186e-06,-0.27491534,0.028825521,-4.911199e-06,-6.622508e-06,-1.0558655e-05,-5.2926644e-06,-8.221449e-06,-5.1639167e-06,-2.9410019e-06,2.8040545,-5.169243e-06,-1.6103168e-06,-3.4864968e-06,0.1447481,-2.2556558e-06
CA4,5.1237103e-06,-1.1125182,1.4570438e-05,1.1196147e-05,0.05078335,6.3181897e-06,4.617138e-06,-15.336633,-0.8269542,4.3615173e-06,-0.6708797,1.04230785e-05,1.4310416e-05,4.3246217,-1.4778283,7.833203e-06,2.964093e-06,7.640522e-06,3.957566e-06,9.128282e-06,7.5354214e-06,6.2333743e-06,1.4818712,4.4505714e-06,8.409427e-06,6.644738e-06,13.567382,8.174041e-06
TUBA1A,-0.000113339374,-4.0212483,-0.0001395931,-0.00025312783,60.10743,-0.00010508191,-9.4154704e-05,-15.077934,-113.26141,-0.00010245682,-5.6722507,-0.00012906699,-0.00014858531,49.490578,0.7621342,-0.000113778595,-0.0001290395,-0.00011266315,-0.00010067421,-0.00013576719,-0.00011965786,-0.00011267428,34.206154,-0.000108210974,-0.000102218364,-8.855765e-05,-6.531149,-8.689771e-05
AXL,-1.4824159e-06,7.9234695,-1.872652e-07,-1.5952537e-05,-9.713599,3.8007653e-07,-6.0368084e-06,25.69483,1.3708647,1.7729687e-06,4.7731705,3.0489882e-06,-3.0571412e-06,-55.950214,-0.6395789,-7.302558e-06,-8.143946e-06,-2.1116252e-06,-1.8005676e-05,-3.4343334e-06,-4.5363627e-06,1.5237416e-05,3.0723674,4.5772235e-06,-8.669368e-06,-1.4940241e-06,23.468752,-5.3702684e-06
NFKBID,1.5362728e-05,-1.5617691,1.9942694e-05,2.4095538e-05,0.06770176,1.3155564e-05,1.5148577e-05,1.4874785,0.008741759,1.766607e-05,-0.99422944,1.7748585e-05,2.3872799e-05,0.71489143,-1.1396134,1.6828752e-05,1.8277717e-05,1.8639113e-05,1.7129238e-05,1.8930044e-05,1.8583214e-05,1.7557504e-05,1.5006441,1.2929012e-05,2.0574073e-05,1.7067308e-05,-0.08418825,1.9150864e-05
LAIR1,-6.23674e-05,21.947495,-6.107465e-05,-7.702469e-05,-22.148384,-5.1123297e-05,-5.2383475e-05,-13.223592,2.543181,-6.677895e-05,-1.3169621,-7.5853044e-05,-6.191222e-05,-17.448093,-1.1491461,-5.5040713e-05,-6.9369016e-05,-6.307715e-05,-5.229963e-05,-5.179792e-05,-7.0992995e-05,-6.260734e-05,0.56029224,-5.252557e-05,-5.3041415e-05,-4.863168e-05,30.236338,-4.9714323e-05
LAIR2,1.6769554e-05,8.734885,1.2448761e-05,2.6480768e-05,1.867463,1.5099033e-05,1.8168033e-05,-8.623515,-1.5033743,1.5310861e-05,-8.829086,2.1157537e-05,1.9038907e-05,12.0541115,0.23525424,1.2694885e-05,1.279444e-05,2.7770742e-05,1.776843e-05,1.1527909e-05,2.431755e-05,1.7113358e-05,1.1764947,1.6061276e-05,1.5884565e-05,1.3393367e-05,-5.112552,1.539027e-05
KIR3DL1,-4.7680596e-06,-0.29659903,-4.3979585e-06,-9.660397e-06,-0.36708307,-4.3711802e-06,-5.8282185e-06,-0.17643455,0.021496117,-4.387826e-06,0.024312224,-6.024591e-06,-5.876589e-06,-0.31863183,0.028938962,-4.9981877e-06,-6.7687947e-06,-5.9806125e-06,-6.6599105e-06,-5.571322e-06,-5.9270515e-06,-4.7141793e-06,0.11992665,-3.5777668e-06,-5.006952e-06,-5.0368812e-06,0.9641788,-4.8207494e-06
PPP1R14A,-5.4234624e-05,-1.1487503,-6.0077455e-05,-6.137854e-05,1.6632257,-4.3156146e-05,-5.5596778e-05,10.160593,0.04060708,-4.0953557e-05,-32.101868,-4.6021618e-05,-7.710025e-05,4.474186,0.279621,-5.080076e-05,-7.398402e-05,-5.076046e-05,-6.355466e-05,-5.0606235e-05,-8.283946e-05,-4.615199e-05,1.5381534,-4.425928e-05,-5.7759615e-05,-6.434245e-05,15.095296,-5.5062126e-05
C19orf33,-0.0003800275,-3.0556388,-0.00052382814,-0.00066908175,-47.375122,-0.00033108992,-0.00036227945,-5.18611,1.6275319,-0.00039605884,10.597575,-0.0004388533,-0.00059119356,34.847088,0.97535825,-0.0004086406,-0.00039132952,-0.00041915773,-0.00040211104,-0.0004450284,-0.00044885575,-0.00047439753,-57.498665,-0.00032087977,-0.00042451452,-0.00035530547,65.07622,-0.0004704913
DNAAF3,1.7631543e-06,-3.1926801,5.662808e-06,3.7570576e-06,-11.980873,1.1717498e-06,2.1124667e-06,-5.8412237,28.486645,1.1356642e-06,-1.0442886,2.8664985e-07,1.9779611e-06,-2.3960161,0.28716785,-4.4084493e-07,2.0190341e-06,6.1694986e-06,3.0368647e-06,1.4292657e-06,5.276599e-06,3.0921751e-06,-0.0022124052,4.9322653e-06,-1.7206971e-06,8.5021594e-07,-4.3165655,1.7244989e-06
PSCA,0.00020838335,8.727353,0.0003332844,0.00023796142,326.17975,0.0002062343,9.2811475e-05,14.391701,68.431816,0.00015513487,3.5832872,0.00017241805,0.0003824841,-27.620453,1.7995338,8.324119e-05,8.6521206e-05,0.00010236211,0.0001420316,0.00021777902,0.00021309186,0.00034414363,-364.96796,0.00016591912,-1.1624e-05,0.00012147582,-30.528484,0.00014217032
LY6D,0.00011781922,-6.1441884,0.00016563978,0.00018068867,-16.467869,0.000119505195,0.00013453691,-4.52556,-9.259192,0.00012221029,0.6080961,0.0001049415,0.0001438187,-9.974693,1.0641216,0.000107747335,0.0001412666,0.00014244157,0.00013669707,0.00011325177,0.0001384746,0.00013089934,30.808136,9.524391e-05,0.00012641636,0.00011223964,13.888687,0.00012337894
TMIGD2,-2.4851235e-05,-0.4321827,-2.9063152e-05,-4.0899275e-05,-1.1022221,-1.8599769e-05,-2.9532503e-05,-0.67761976,-0.075840876,-2.6081223e-05,0.053300288,-3.2783028e-05,-2.9713057e-05,0.31145266,0.40319473,-2.6267611e-05,-3.7390084e-05,-3.0273193e-05,-3.202588e-05,-2.6224698e-05,-3.1366555e-05,-1.7715194e-05,0.0075837635,-1.790548e-05,-2.8539076e-05,-2.793799e-05,1.5128654,-2.4400855e-05
SEMA6B,-5.1888783e-06,2.116506,-4.244979e-06,-5.3285885e-06,-1.8182892,-4.4437147e-06,-4.4531007e-06,-4.835594,-0.07939788,-6.668384e-06,0.2670985,-7.0045394e-06,-3.893311e-06,1.2859739,-0.32401907,-3.505413e-06,-5.8599035e-06,-4.616718e-06,-3.1695236e-06,-1.8712059e-06,-7.5755775e-06,-3.6667288e-06,0.3183908,-3.3558915e-06,-5.4880584e-06,-5.3408903e-06,3.0694196,-4.298935e-06
KLK6,1.5161829e-06,0.007787323,2.008009e-06,2.5410936e-06,-0.37023437,2.0598322e-06,1.762161e-06,-0.04248506,0.06216023,2.7499968e-06,-0.0018313371,2.2931954e-06,1.8902285e-06,-0.03533201,0.003395171,2.1716696e-06,2.1064498e-06,2.0636223e-06,1.3516353e-06,1.7417229e-06,2.212049e-06,2.5425277e-06,0.40340966,2.305461e-06,3.0121914e-06,2.3103978e-06,-0.0269107,2.228005e-06
KLK11,1.1956058e-06,-0.6341582,-7.852342e-07,-1.6359207e-05,-57.81366,-3.0939923e-06,-2.8855038e-06,16.167181,2.0990806,-3.9165557e-06,2.429392,5.1808183e-06,1.9340393e-06,10.214857,0.103981055,6.291862e-06,9.338171e-07,6.6033235e-06,6.1645364e-06,1.531591e-05,-3.185612e-06,2.7870567e-07,-4.2251935,3.1142674e-06,-8.503734e-06,1.5633641e-06,31.658503,3.9146903e-06
