gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous
IL32,0.0009625237,196.61307,0.0010795613,0.0015181438,176.21587,0.00085208623,0.001007163,151.8609,62.71905,0.0010177726,67.04347,0.0011774106,0.0011425354,357.73392,47.360455,0.001021871,0.0011453525,0.0011096429,0.001052716,0.0010497852,0.001137546,0.0010576536,94.22641,0.0008789398,0.0011642735,0.0010087258,423.98712,0.0009811523
MED24,0.00018988532,38.14728,0.00023879162,0.00026843097,66.99479,0.00016490895,0.00018767064,24.94582,35.400665,0.00020050087,12.426707,0.00022157711,0.00024566997,52.00101,2.7604887,0.00019717315,0.00022296024,0.00021939611,0.00018831302,0.00020101518,0.0002319065,0.000230407,86.66749,0.00019282769,0.00022252939,0.00019771063,23.67161,0.00019290861
TRAF3IP3,0.00017982959,21.289131,0.0002234756,0.00032941482,20.264673,0.00016064756,0.00019717397,13.020185,9.275686,0.00020085374,8.418905,0.00022085723,0.00023102511,37.01329,7.0182877,0.00020628804,0.00022850017,0.0002172231,0.000219406,0.00023063918,0.00022280146,0.00020428716,15.122562,0.00018022809,0.00023524177,0.0002009735,60.47771,0.00019133306
SEMA3G,3.4407116e-05,9.152733,3.584718e-05,3.939151e-05,5.190124,2.7391961e-05,2.9788078e-05,28.971216,1.7136986,2.670667e-05,5.3302712,3.7747963e-05,3.8579652e-05,13.2205715,0.7554007,3.0125862e-05,3.5119985e-05,3.8230988e-05,3.1029176e-05,3.1254287e-05,3.470458e-05,4.263945e-05,4.1411157,3.236453e-05,3.2465712e-05,3.2873526e-05,7.270602,3.5281773e-05
STAB1,0.00016944789,34.57058,0.00019243151,0.00023263524,19.00177,0.00015037182,0.00016146277,28.50601,7.72426,0.00017348713,8.334673,0.00020494244,0.00019899206,90.759254,5.7451453,0.00016953844,0.00020595921,0.0002068205,0.00014904677,0.00016555049,0.00022168831,0.00017997574,9.2057905,0.00017348371,0.00017937337,0.00017240865,48.34448,0.0001715957
LRRC23,0.00029087384,37.27871,0.00037134872,0.00037886234,46.759922,0.00024892576,0.00025062825,16.466925,133.84764,0.00027871193,11.3515005,0.00028259045,0.00034768166,50.262646,2.1957448,0.0002722059,0.0003127477,0.00030820223,0.00024990417,0.00028875782,0.00031029654,0.0003351072,91.22197,0.00028828505,0.00028453296,0.000253731,21.94159,0.00026734517
FYN,0.00018563021,22.623688,0.00023037234,0.0002968196,21.660364,0.00016374749,0.00019279822,39.780025,12.8643265,0.0001947174,22.884254,0.00021126222,0.00023992732,59.705647,5.3386784,0.00019484165,0.00021380883,0.00021854095,0.00021035933,0.00020959506,0.00022037834,0.00021785672,18.019718,0.00017451138,0.00022346588,0.00019326489,67.552956,0.00019964152
PLAUR,0.0008158571,183.44272,0.0009876249,0.0011336582,78.89504,0.0007192913,0.00080121553,104.2063,39.001255,0.0008793829,60.405285,0.0010006216,0.0009971432,422.88412,14.606659,0.0008459811,0.001009402,0.0009819139,0.0007807124,0.0008258123,0.0010510237,0.00092349976,81.74609,0.0008453134,0.0009567608,0.0008489875,111.76199,0.0008256756
DCN,0.0005922763,146.94699,0.00080536044,0.0009613085,136.42818,0.00055946154,0.0005697779,298.22034,41.792725,0.000580742,1123.7434,0.00076379045,0.0007810685,508.78,26.846151,0.00057739916,0.0007126312,0.00078362826,0.0005620835,0.00067984674,0.00071687275,0.00071896636,92.85864,0.0006946344,0.0006712472,0.0006407568,195.32425,0.00060876133
ZBTB32,2.5671037e-05,0.93933755,2.9634017e-05,5.155944e-05,0.81094444,2.1874657e-05,2.6657488e-05,1.1181583,0.48643032,2.621129e-05,0.7804002,3.2130323e-05,3.4884622e-05,3.7667787,3.3058894,2.8824712e-05,3.3011373e-05,2.9341658e-05,2.69977e-05,3.2523338e-05,2.9283678e-05,2.4851153e-05,0.54457957,2.2228485e-05,2.94799e-05,2.6853158e-05,3.5948083,2.2407936e-05
