features,AT1,AT2,Arterial EC,B cell lineage,Basal,Bronchial Vessel 1,Bronchial Vessel 2,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,KRT5- KRT17+ epithelial,Lymphatic EC,Macrophages,Mast cells,Megakaryocytes,Mesothelium,Monocytes,Neutrophilic,Non-T/B cells,Proliferating cells,Rare,Secretory,Smooth Muscle,Squamous,Submucosal Secretory,T cell lineage,Venous,unlabeled
A1BG,0.0017785108112075873,0.0026165014960384094,0.00495891470831754,-0.0012706916148443174,0.0029536463435702264,0.007373291485908699,0.0029888735338499833,-0.0030935543228143305,-0.0038285961290994795,-0.0013302773420617497,-5.1421327704125054e-05,0.00341588478493346,0.003786206166109754,0.0003733764708496481,-0.002879125006183005,-0.006028730181369544,-0.00030066366427418834,-0.0038360281798755654,0.009942360864167981,0.004007196684372863,0.003400329762382623,0.004137234043569754,-0.00016409673915649062,0.002329831941258338,0.0011709714945434173,0.004032745459923645,-0.0021329527492361857,0.0029230347099946687,0.0027796454933643362
A2M,-0.02197028682925334,-0.013727141366340366,0.014142868318387777,-0.01269553227449372,-0.02329224222008934,0.011786294220241378,0.013546978405269338,0.008323541559888925,-0.020707126533821226,-0.007230110466869056,0.008861497458237557,-0.009858442529538098,-0.009655229108512808,-0.006677130363275049,-0.019136231894920377,-0.00404559861118623,-0.014762252309146968,-0.01640310188211249,-0.03944455191329271,-0.015676314075689427,-0.012458788650424737,-0.023263202813721455,-0.02173704658568622,0.01444993195073644,-0.01266239167248407,-0.01949891467879165,-0.021884124873810733,0.010868828234615475,-0.01171408739586125
ABCA1,-0.002339291305415725,0.0007362132349579903,0.0018536497533738353,0.00027742177205725247,0.0007668470796559392,0.004643556047215259,-0.0011736192246842956,0.00415610274847786,0.0038012942012540874,-0.0006200809657269334,-0.0008005355774076008,0.0019524853748345205,0.006392446410390488,0.002451180454740514,-0.0021481337654214463,0.003290327153218925,-0.0033827601555232213,0.0037758387842925195,0.011229899732126599,-0.0007625493702942902,0.00018630608658989217,0.010742996826251747,0.003737469758609062,0.001815138829255181,0.008389283151086734,0.001305376627850545,0.002434640806288751,-0.002428279552334358,0.0029968432197783764
ABCA3,-0.009904141573462324,0.0060888865676266115,-0.016655086889186595,-0.01503470424113323,-0.024025770952403925,-0.008725434320833786,-0.014749888128891456,-0.009145234693892196,-0.017162209610469305,-0.010948413707047187,-0.014609278200387113,-0.0025859674022343233,-0.014620208235987208,-0.011224257796924231,-0.011426111591228692,0.001833981364982348,-0.012524737782468622,-0.013585493899860007,-0.020689608545360325,-0.01020554501880552,-0.010855959029724225,-0.019492397095987164,-0.018550258780964175,-0.013264815190557541,-0.017285291294565984,-0.0198832536021627,-0.010899512072897853,-0.016944015134999966,-0.015394437156841046
ABCA6,-0.017476913559632597,-0.002396227591225645,-0.00559265393142689,-0.01431605033539628,-0.005584941131971421,-0.007866324523424884,-0.01036127783276515,-0.005096246124097683,-0.017289570494817653,-0.015863623815466816,-0.00722309825381981,0.002153145005015476,-0.0036244112059509157,-0.010395548173506932,-0.014088890327172318,-0.01644728547603296,-0.005566700291483461,-0.011379100948066968,-0.01654674783297292,-0.019769938562337296,-0.010023787303447773,-0.005900998598825706,-0.011114286227408832,-0.008757206195267538,-0.016117163708913456,-0.006704515049675871,-0.005875474264639981,-0.00841874127042152,-0.00856907460925044
ABCA8,0.004444482124368078,0.005244891126427155,0.01040813711143164,0.013532459140583207,0.010559540614048313,0.004128341895999835,0.0032102573008148017,0.009040540722929731,0.00713257224380172,0.005429195484801492,-0.0021348493254010966,-0.0004851508905330266,0.010572551053727697,0.007282640697929618,0.0054322249872394935,0.036744596017772004,-0.0007097352354877111,0.005600772948592234,0.028751424458042855,0.002252311215981275,0.003407609281629412,0.012608842434028463,0.013259726339649218,0.00360455320140366,0.004690581621236392,0.01407741426515363,0.013740137550761915,0.0009059061705071407,0.003847338451720066
ABCB1,-0.010836539229353473,-0.005113265484461263,0.006947188007439224,0.005005364215674987,0.004051358752599508,0.004006779595035817,0.003982621168308955,-0.0039048877392535942,-0.0018158551140076062,-0.00579410804059678,-0.006115554041260349,-0.016001938334740326,-0.004937845480987805,-0.007158132658688469,0.004733889479808691,0.018232588455701724,-0.004135460931635438,-0.005357795250409581,-0.0013573222732179346,0.00823502627111515,-0.0035429487133709424,-0.0007736785139368433,0.0017361844428244952,-0.0013224343559576856,0.0020430372510002533,-0.010557398084329735,-0.004961478249271864,0.01367538066133396,-0.007959869501745487
ABCC8,-0.00014558540734161906,-0.0165109771263883,-0.001976767664601536,0.005527178775758015,0.01027094436985944,0.001013969207901647,0.008257852572195724,0.010441813380026962,-0.005508588275244397,0.004864299728810466,0.015533996931754477,-0.03777543101591541,-0.007312644422286265,-0.028695987578115485,0.012620887362063222,0.0032679929060884035,0.01374465915033775,0.008832206562470349,-0.03354091407670285,-0.0009354279348464736,0.0022309081643081975,-0.0046641153817212596,-0.00018128438940484396,0.014258046674613133,-0.016185810366085282,-0.003625922759487925,0.005233001606994611,0.02185681688430261,0.014556989871792965
ABI3,0.002983192712618902,0.004389480211689945,0.0053523395900850505,0.003110066316628502,0.006641289018644298,0.00047569661067538787,0.003975628408834346,0.0026001166501287065,0.0028794977006939863,0.0033391565307554294,0.01110847224595959,0.00549907593945198,0.001811910468702893,0.001218181670487654,0.009930876649334125,0.0023379772511109903,0.00798340383361262,-0.0003603253042890928,-0.015164188352663366,-0.003730608583671482,0.0018993686367391334,0.005589177537019525,0.005425681452737947,0.006255441510766509,0.003989437431658674,0.010424452861805709,0.0017766529437504295,0.006408867006358603,0.0016718894870170066
ABI3BP,0.008917967980916607,0.013892295668265664,0.009451266744447274,0.020322397486580032,0.021275105472349776,0.02056023279358886,0.01969999500813683,0.025567710642347606,0.023563066657448704,0.02448285706298257,-0.010052284430077022,0.025292749694649227,0.008561401917579009,0.01288721194382392,0.016723355871902233,0.01515573943552251,-0.0012513308305431145,0.017584206252082533,0.06093314388608775,0.023974816605363842,0.022249079512763,0.02427845575811005,0.022104968055388058,0.015642110780148058,0.023351485816717643,0.022118784195053923,0.022430852354329796,0.0004866864872078071,0.016835703376840424
AC002331.1,0.028095703068018025,-0.015930116100581405,-0.0005550062977614495,0.014896919351381018,-0.02289376524229529,0.017041647476808603,-0.013417398297756324,-0.0002703140774405821,-0.00901846822597007,-0.0020421631824334096,-0.003601200639154444,-0.02357714204413417,0.023885061179280395,-0.00618691711759277,0.02068941306974682,0.031246568482932804,-0.009934562283183311,0.0009109071737732383,0.003548243690892129,0.041740762548640446,-0.019373376426009073,0.006921267611511708,0.010028214803637412,-0.03094109055403137,0.01417601176033779,0.03080438059341528,-0.007612012967420937,-0.01600963580776276,-0.006879097408036961
AC004791.2,-0.024836541309032505,-0.006606567597570815,0.0019972621854754237,-0.004578070258410819,-0.014351467734691986,0.010649073129745302,0.006066991813767261,0.005969979675305553,0.006885241415970722,-0.004154463645700206,0.0103008470371801,-0.00567417753424334,-0.016063257324460577,0.0075445000913777335,-0.01110932228409353,-0.04595235701570703,-0.004415199214442126,-0.005330540122174785,-0.0476489085452836,-0.022333016903859932,-0.020953420701763915,0.04725052689227039,-0.0026133359482759487,0.01826098843888954,-0.0173571163202114,0.00827870511155233,0.00015610574368572937,0.006502217334876869,-0.005824807764800668
