gene_symbols,AT1,AT2,Arterial EC,B cell lineage,Basal,Capillary,Ciliated,Dendritic cells,Fibroblast lineage,Lymphatic EC,Macrophages,Mast cells,Mesothelium,Monocytes,Non-T/B cells,Rare,Secretory,Smooth Muscle,Submucosal Secretory,T cell lineage,Venous
A1BG,0.0004653126938802,0.0018781293507634,0.0021951489215286,0.0041488050266627,0.0037178352851768,0.000840608004397,-0.0004185475958408,0.0022605946957577,0.0014435009439055,0.0008407433152615,-0.0008643630615281,0.0003799284129075,0.0011129371303068,0.0029490256479613,0.006280660791378,0.0034511373067297,0.0005784907585999,0.0008675983367411,-0.0004456817816355,0.000491334901079,0.0010084585578782
A2M,-0.0026494422235305,-0.0034281927572359,0.0055387230329577,-0.0038146077006111,-0.0033162438209806,0.0030384261402273,-0.0046839560063031,-0.0021438160299291,0.004246922228551,-0.0003642749442584,-0.0005804246351359,-0.0014795418116724,-0.0029329360738211,-0.0049029105691393,-0.002915557077112,-0.0089043850304179,-0.0052598107957528,0.0038839100431783,-0.0077481892149698,-0.0030298099952915,0.0043533667784156
ABCA1,-0.000777701778201,-0.0007221348418568,0.0004971486763701,-0.0018276955428284,-0.0029736511630055,-0.0005462923409506,-0.0001441369916469,-0.0024831781671579,-0.0008630893736272,0.0024535599461256,0.0011689268403084,0.0008923988881269,0.0007506111109047,0.0005755349241934,0.0008215368073467,0.0003500258760011,0.0011182800433247,9.237868201330778e-05,0.0031165013052225,0.0017347941701011,-0.0005339120768296
ABCA3,-0.0030298867470538,0.0056914455972327,-0.0109133427035043,-0.0105928889067338,-0.0097844346141523,-0.01343815450967,-0.0085353149960349,-0.0097122379563807,-0.0108209965207442,-0.0077132259344034,-0.0080663680628656,-0.0107861650381986,-0.0082718721554663,-0.0090865379857709,-0.0129086580875779,-0.0092486337343195,-0.0096545329290621,-0.014716351455864,-0.0102021467121725,-0.0112573731352538,-0.0109632861809524
ABCA6,-0.009664918144747,-0.0021598617540249,-0.008892855612741,-0.0060357927302009,-0.0097979570319501,-0.0099756646358655,-0.0049811951572874,-0.0053640104343345,-0.0042245751450166,-0.0067420859722001,-0.0067178895596575,0.0021642139096016,-0.0074037703413717,-0.0048470670222253,-0.004154714129686,-0.0052607265772483,-0.0033587752572063,-0.0104354311303545,-0.0009170959694356,-0.0061325270507044,-0.0091917786614377
ABCA8,0.0009788506312808,-0.0006856172260871,0.0012888628473219,0.0031036356339885,0.0066230627601224,0.0022536554441797,0.0017805002459593,0.0034470548102882,0.0050286699473966,0.0035624769951518,0.0011353569152361,0.0047517045140788,0.000717815564077,0.00430012555169,0.0054266820639733,0.0057416915068885,0.0022730050340322,0.0042569437499639,0.003091658545122,0.0042497967749221,-0.0012454333859441
ABCB1,0.0059379768559286,0.0030538518160612,0.0081768560555628,0.0023400192649151,0.0011051266577528,0.0098672700376284,0.0008370135728157,0.0066794868610287,0.0080638395482887,0.003762869055289,0.0029916719735722,0.0088213811003368,0.0042025338776951,0.0067656542999552,0.0065448226307346,0.0092597294661455,0.0115278174141891,0.0118064658069743,0.00122180168515,0.0079814150631718,0.0056019734541501
ABCC8,-0.0108367389478985,0.006264337363701,0.0100520156529171,-0.0018812246599954,-0.004647717720614,-0.0139650400724509,-0.0054207193768696,-0.0044420205717843,0.0046883468564022,-0.0001963568898972,0.0063923124760556,0.0027580862373431,0.0075552287370608,-0.0057046651736553,0.0036784265114302,-0.0062068700451153,0.0036459734536051,0.0032533432299916,-0.0023218666553681,0.0025497853002769,-0.0001265215036897
ABI3,-0.0015557731531612,-0.0016217702271458,7.253619420711489e-05,0.0001956755275842,0.0001317230821907,-0.001032484804732,0.0001049237256388,0.0013207938233272,0.0015279314958928,-0.0007561951609677,-0.00056716365984,0.0023403356987176,-0.0021590220000277,-0.000869015245903,0.0018415109663412,0.0010421483823946,0.0010020895925965,-0.0014869129124548,0.0010385883266857,-0.0020852762505872,-0.000374355558405
ABI3BP,0.0043777699060145,0.0039689664517933,0.0030755850149557,0.0044229709452975,0.0030774780093294,0.0069870053924382,0.0016872897759277,0.0064601716599094,2.1747520330565768e-05,0.0032018130283307,0.0023335899741921,0.0034276590599561,-0.0011745565821861,0.0057139749497406,0.0087170119270787,0.0034910024347638,0.0040806401060574,0.0035036269831156,0.0040551190837351,0.0007926334788357,-0.0008314132928489
